experiment_id,combination,repeat,timestamp,num_communities,num_nodes,feature_dim,edge_density,homophily,randomness_factor,min_connection_strength,min_component_size,indirect_influence,regimes_per_community,intra_community_regime_similarity,inter_community_regime_similarity,feature_regime_balance,node_count,edge_count,density,avg_degree,clustering_coefficient,triangle_count,triangle_density,power_law_exponent,connected_components,largest_component_size,avg_communities_per_node,intra_community_density,inter_community_density,empirical_homophily,regime_GCN_accuracy,regime_GCN_train_time,regime_GCN_metrics_macro_precision,regime_GCN_metrics_macro_recall,regime_GCN_metrics_macro_f1,regime_GCN_metrics_weighted_precision,regime_GCN_metrics_weighted_recall,regime_GCN_metrics_weighted_f1,regime_GCN_final_train_loss,regime_GCN_final_val_loss,regime_GCN_best_val_acc,regime_GCN_epochs_trained,regime_GCN_best_val_score,regime_GCN_n_trials,regime_GCN_param_lr,regime_GCN_param_weight_decay,regime_GCN_param_dropout,regime_GCN_param_hidden_dim,regime_GCN_param_num_layers,regime_GCN_param_residual,regime_GCN_param_norm_type,regime_GCN_param_agg_type,regime_GCN_param_patience,regime_MLP_accuracy,regime_MLP_train_time,regime_MLP_metrics_macro_precision,regime_MLP_metrics_macro_recall,regime_MLP_metrics_macro_f1,regime_MLP_metrics_weighted_precision,regime_MLP_metrics_weighted_recall,regime_MLP_metrics_weighted_f1,regime_MLP_final_train_loss,regime_MLP_final_val_loss,regime_MLP_best_val_acc,regime_MLP_epochs_trained,regime_MLP_best_val_score,regime_MLP_n_trials,regime_MLP_param_lr,regime_MLP_param_weight_decay,regime_MLP_param_dropout,regime_MLP_param_hidden_dim,regime_MLP_param_num_layers,regime_MLP_param_patience,regime_RandomForest_accuracy,regime_RandomForest_train_time,regime_RandomForest_metrics_macro_precision,regime_RandomForest_metrics_macro_recall,regime_RandomForest_metrics_macro_f1,regime_RandomForest_metrics_weighted_precision,regime_RandomForest_metrics_weighted_recall,regime_RandomForest_metrics_weighted_f1,regime_RandomForest_best_val_score,regime_RandomForest_n_trials,regime_RandomForest_param_n_estimators,regime_RandomForest_param_max_depth,regime_RandomForest_param_min_samples_split,regime_RandomForest_param_min_samples_leaf,regime_RandomForest_param_max_features
0_0,0,0,20250502_181048,5,123,32,0.13874282815266115,0.327639751552795,0.6131564965044011,0.07832698141249571,9,0.0,1,0.40133979277360554,0.9054605210203995,0.2188329751131895,123,644,0.0858323337331734,10.471544715447154,0.09357399335878526,202.0,0.0006675015944035609,-0.7553666299897667,1,123,1.0,0.1409485637942552,0.0720945720945721,0.32319272532494686,1.0,0.5969212055206299,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,52,1.0,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,False,batch,mean,51,1.0,0.3534219264984131,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,73,1.0,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,72,1.0,0.15671062469482422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,144,20,8,6,sqrt
1_0,1,0,20250502_181113,7,114,32,0.03798590201431418,0.16363636363636364,0.1327454222429698,0.07716760833439616,4,0.0,3,0.4389714207056361,0.7235369144026798,0.12028059473236602,111,220,0.036036036036036036,3.963963963963964,0.03818688818688819,12.0,5.409913666794401e-05,1.5497884463948992,1,111,1.0,0.04186046511627907,0.03508102955195424,0.08811156572350609,1.0,0.5866451263427734,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,52,1.0,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,False,batch,mean,51,1.0,0.34656643867492676,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,73,1.0,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,72,1.0,0.16324973106384277,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,144,20,8,6,sqrt
2_0,2,0,20250502_181138,9,141,32,0.056216744074154626,0.14340344168260039,0.17701048427674682,0.029650869688048066,10,0.0,2,0.1287483982996439,0.7990298539930466,0.3572662117440232,139,523,0.054530288812428315,7.525179856115108,0.3125343163197583,424.0,0.0009680608417106366,0.9238826451946508,1,139,1.0,0.07190795781399809,0.05240992044922789,0.15684017164036362,1.0,0.5981018543243408,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,52,1.0,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,False,batch,mean,51,1.0,0.3484044075012207,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,73,1.0,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,72,1.0,0.1553189754486084,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,144,20,8,6,sqrt
3_0,3,0,20250502_181204,11,150,32,0.05233414007593744,0.10746812386156648,0.3302525290190985,0.0402945739098511,3,0.0,1,0.8227903518766931,0.9232634970829894,0.6448315416775272,149,549,0.04979140214039543,7.369127516778524,0.16867395230884363,319.0,0.0005904411465293536,1.1402918368552921,1,149,1.0,0.05953582240161453,0.048829098156452415,0.09880249244888206,1.0,0.6202290058135986,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,52,1.0,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,False,batch,mean,51,1.0,0.35859155654907227,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,73,1.0,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,72,1.0,0.16341209411621094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,144,20,8,6,sqrt
4_0,4,0,20250502_181231,11,68,32,0.10950498709949763,0.16974169741697417,0.05819359550844361,0.05538817837848836,7,0.0,1,0.27993389694594284,0.9864595841989583,0.6903175333566148,68,271,0.1189640035118525,7.970588235294118,0.1960828562256888,165.0,0.003292361720807726,0.8326221011416213,1,68,1.0,0.21395348837209302,0.10906446921958313,0.3247157524446337,1.0,0.6044967174530029,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,52,1.0,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,False,batch,mean,51,1.0,0.38225579261779785,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,73,1.0,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,72,1.0,0.1563739776611328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,144,20,8,6,sqrt
