run_id,timestamp,total_time,method,degree_distribution,n_graphs,universe_homophily,universe_edge_density,homophily_range_width,density_range_width,degree_heterogeneity,edge_noise,family_n_graphs,family_node_counts_mean,family_node_counts_std,family_node_counts_min,family_node_counts_max,family_edge_counts_mean,family_edge_counts_std,family_edge_counts_min,family_edge_counts_max,family_community_counts_mean,family_community_counts_std,family_community_counts_min,family_community_counts_max,consistency_overall,consistency_pattern,consistency_fidelity,consistency_degree,signal_degree_signals_mean,signal_degree_signals_std,signal_structure_signals_mean,signal_structure_signals_std,signal_feature_signals_mean,signal_feature_signals_std,community_gcn_accuracy,community_gcn_f1_macro,community_gcn_train_time,community_gcn_success,community_sage_accuracy,community_sage_f1_macro,community_sage_train_time,community_sage_success,community_mlp_accuracy,community_mlp_f1_macro,community_mlp_train_time,community_mlp_success,community_rf_accuracy,community_rf_f1_macro,community_rf_train_time,community_rf_success
10,20250527_103004,12.366958141326904,dc_sbm,standard,12,0.30000000000000004,0.15000000000000002,0.24693310221293757,0.0013058990784933667,0.2475394479519058,0.12368435386992205,12,90.0,6.867799259345505,81.0,100.0,938.9166666666666,323.22501407258414,572.0,1513.0,4.333333333333333,0.7453559924999298,3.0,5.0,0.6459316057686437,0.7589188470875117,0.8593409685938918,-0.006861602519588696,0.2719813524825135,0.055582099260469746,0.10990006286615707,0.09342917054813153,0.8108131578603714,0.07456573806780943,0.5267175572519084,0.4866893715124047,2.0960798263549805,True,0.9618320610687023,0.962688329870604,1.532763957977295,True,0.9351145038167938,0.9193136188993133,1.025183916091919,True,0.9007633587786259,0.8877352762598665,0.32231593132019043,True
11,20250527_103018,13.877057790756226,dc_sbm,standard,12,0.30000000000000004,0.15000000000000002,0.25399872216304015,0.028058277013251712,0.41841278168402707,0.07043498273839235,12,89.75,6.634819766454348,81.0,99.0,1004.5,318.6080402835643,540.0,1620.0,4.166666666666667,0.7993052538854533,3.0,5.0,0.6644874119239489,0.7310165515583078,0.9052070047826012,0.04998994693792653,0.2903255790620342,0.03352814601565897,0.13248778010704718,0.10555004010812481,0.7536652202406201,0.08955840618594316,0.45112781954887216,0.3075361515107076,1.3093466758728027,True,0.849624060150376,0.7191763281998121,0.9858479499816895,True,0.9022556390977443,0.8820126475223926,0.995854377746582,True,0.8345864661654135,0.7757959303088082,0.3016531467437744,True
12,20250527_103029,10.954952478408813,dc_sbm,standard,12,0.5,0.05,0.12605489014223215,0.01816197484825428,0.22941368143301621,0.10365654563349525,12,89.58333333333333,5.619287222494405,80.0,95.0,576.1666666666666,230.1926125853931,148.0,906.0,3.6666666666666665,0.4714045207910317,3.0,4.0,0.7308390358831586,0.8615216036116761,0.9771649060872675,-0.02317783998209443,0.3063958404999427,0.043421733214901906,0.5142031088881923,0.25842967104366404,0.8640204603069024,0.08027431387030483,0.94140625,0.9517408860995795,1.5030786991119385,True,0.98828125,0.9904918373900621,0.9810466766357422,True,0.95703125,0.9490141851395009,0.7187721729278564,True,0.90625,0.9014460784313726,0.293163537979126,True
13,20250527_103041,12.262946128845215,dc_sbm,standard,12,0.5,0.05,0.0279324860015574,0.04858279599948938,0.43870198632455226,0.04850454029961282,12,92.91666666666667,6.10270887029322,80.0,100.0,673.5,250.1487890569664,257.0,1030.0,3.6666666666666665,0.74535599249993,3.0,5.0,0.7177873089673624,0.8600861424983024,0.9828060756520404,-0.09684789146387353,0.3239789015021213,0.07390517318732888,0.7149610949318309,0.3138740968488895,0.8426462428838533,0.07493687008368902,0.8384879725085911,0.6789553834227374,1.8240330219268799,True,0.9347079037800687,0.7699979056822367,1.1703429222106934,True,0.9140893470790378,0.7352575897063668,1.2048771381378174,True,0.865979381443299,0.6966195301573194,0.3044865131378174,True
14,20250527_103056,14.615762948989868,dc_sbm,standard,12,0.5,0.1,0.295257555162773,0.01667061330073267,0.5715911372683963,0.03927808344290491,12,91.41666666666667,6.006362367430797,80.0,100.0,785.9166666666666,240.6541288285373,489.0,1260.0,4.25,0.82915619758885,3.0,5.0,0.7363155341697492,0.8420587136701791,0.9869838301874894,0.02349258313340857,0.36693068455452355,0.08523727312983793,0.6891758641337181,0.1921210490631019,0.8397615035281754,0.07560000095188289,0.9739776951672863,0.9764708354737776,1.8006398677825928,True,0.9925650557620818,0.9945502617869406,0.7783041000366211,True,0.8698884758364313,0.8745953220618439,0.6354260444641113,True,0.929368029739777,0.9199460742519829,0.31120944023132324,True
15,20250527_103107,11.306679010391235,dc_sbm,standard,12,0.5,0.1,0.02620489287065252,0.0115238549775864,0.38774274944723897,0.0621565397120174,12,91.0,5.597618541248888,81.0,100.0,748.5,169.3150416629702,496.0,1120.0,3.9166666666666665,0.759202798262025,3.0,5.0,0.7318414351733477,0.8527447895944852,0.989514465292518,-0.02531133390726784,0.3351783769063181,0.08960129889206332,0.619346503407545,0.1834916068908245,0.8139614320638913,0.09745796656650803,0.9210526315789473,0.9182147820643577,1.5674431324005127,True,0.9924812030075187,0.9927697697697697,1.0625710487365723,True,0.8909774436090225,0.8911762252097635,0.741119384765625,True,0.8458646616541353,0.8448899616778487,0.3142979145050049,True
16,20250527_103123,15.667248725891113,dc_sbm,standard,12,0.5,0.15000000000000002,0.10953167490680817,0.022560295794666896,0.4472422441374527,0.015124413319027386,12,89.08333333333333,6.264427791550921,80.0,100.0,908.4166666666666,192.5575491177176,569.0,1325.0,3.9166666666666665,0.759202798262025,3.0,5.0,0.7172438177041564,0.8526838212401534,0.9858047467152714,-0.09075804739006758,0.3681364665749341,0.07135853820935421,0.6286638239012347,0.25310921719453033,0.8426570590933223,0.10781110690235204,0.8793774319066148,0.8914753371245083,3.6098062992095947,True,0.9727626459143969,0.9640526535550625,1.7544353008270264,True,0.933852140077821,0.921026080845215,2.223755359649658,True,0.8599221789883269,0.7250460875237528,0.310941219329834,True
17,20250527_103136,12.763409852981567,dc_sbm,standard,12,0.5,0.15000000000000002,0.2772105346723276,0.007893529026739598,0.7068405537710581,0.01683138817229164,12,89.66666666666667,6.497862896539309,80.0,100.0,1000.25,273.7535768411681,544.0,1426.0,3.9166666666666665,0.8620067027323833,3.0,5.0,0.7419031684429146,0.8521519446184559,0.9891304044715569,0.026951144034546893,0.3540249828001376,0.06882461446565961,0.576477807955721,0.25777480269241865,0.863470627162157,0.08063826531457309,0.9616858237547893,0.9583972284864529,2.9973018169403076,True,0.9923371647509579,0.9892547932324947,1.048201084136963,True,0.8697318007662835,0.7192288337125584,0.618403434753418,True,0.9310344827586207,0.9145716107603585,0.3045687675476074,True
18,20250527_103151,14.944180965423584,dc_sbm,standard,12,0.7,0.05,0.09026199901398563,0.0093472908170939,0.32622787387775365,0.13314991405766183,12,90.08333333333333,5.707572942055921,80.0,99.0,666.25,253.9527925291103,344.0,1076.0,3.8333333333333335,0.7993052538854533,3.0,5.0,0.7517486069218305,0.8549313579680867,0.995835479359381,0.057209359954217075,0.4149714052287581,0.09560290341083444,1.575704743238302,0.502490461815931,0.8196560708781212,0.08505451765895485,0.8518518518518519,0.7288173788043291,1.077711582183838,True,0.7814814814814814,0.6667133649717252,0.7301034927368164,True,0.6148148148148148,0.454561802439744,0.5958552360534668,True,0.774074074074074,0.660814501415173,0.30957651138305664,True
19,20250527_103202,11.169429779052734,dc_sbm,standard,12,0.7,0.05,0.24734084277398452,0.009067486624859988,0.7141287377449368,0.09991026146932785,12,88.5,7.216878364870322,80.0,99.0,517.9166666666666,236.91716496606057,185.0,948.0,4.166666666666667,0.7993052538854533,3.0,5.0,0.727003611029841,0.8452999841227847,0.987118950275007,-0.029819813646379204,0.37201539387684907,0.0972943920226873,1.9741776768980737,0.46301665484161125,0.8373734188498121,0.0764299171944266,0.9811320754716981,0.9688029514345304,1.1782565116882324,True,0.969811320754717,0.9084819230897005,0.8227818012237549,True,0.9283018867924528,0.9155355801026749,1.0573995113372803,True,0.8679245283018868,0.8433983921845014,0.3039262294769287,True
