experiment_id,combination,repeat,timestamp,num_communities,num_nodes,feature_dim,edge_density,homophily,randomness_factor,min_connection_strength,min_component_size,indirect_influence,regimes_per_community,intra_community_regime_similarity,inter_community_regime_similarity,feature_regime_balance,node_count,edge_count,density,avg_degree,clustering_coefficient,triangle_count,triangle_density,power_law_exponent,connected_components,largest_component_size,avg_communities_per_node,intra_community_density,inter_community_density,empirical_homophily,community_GCN_accuracy,community_GCN_train_time,community_GCN_metrics_macro_precision,community_GCN_metrics_macro_recall,community_GCN_metrics_macro_f1,community_GCN_metrics_weighted_precision,community_GCN_metrics_weighted_recall,community_GCN_metrics_weighted_f1,community_GCN_final_train_loss,community_GCN_final_val_loss,community_GCN_best_val_acc,community_GCN_epochs_trained,community_GCN_best_val_score,community_GCN_n_trials,community_GCN_param_lr,community_GCN_param_weight_decay,community_GCN_param_dropout,community_GCN_param_hidden_dim,community_GCN_param_num_layers,community_GCN_param_residual,community_GCN_param_norm_type,community_GCN_param_agg_type,community_GCN_param_patience,community_MLP_accuracy,community_MLP_train_time,community_MLP_metrics_macro_precision,community_MLP_metrics_macro_recall,community_MLP_metrics_macro_f1,community_MLP_metrics_weighted_precision,community_MLP_metrics_weighted_recall,community_MLP_metrics_weighted_f1,community_MLP_final_train_loss,community_MLP_final_val_loss,community_MLP_best_val_acc,community_MLP_epochs_trained,community_MLP_best_val_score,community_MLP_n_trials,community_MLP_param_lr,community_MLP_param_weight_decay,community_MLP_param_dropout,community_MLP_param_hidden_dim,community_MLP_param_num_layers,community_MLP_param_patience,community_RandomForest_accuracy,community_RandomForest_train_time,community_RandomForest_metrics_macro_precision,community_RandomForest_metrics_macro_recall,community_RandomForest_metrics_macro_f1,community_RandomForest_metrics_weighted_precision,community_RandomForest_metrics_weighted_recall,community_RandomForest_metrics_weighted_f1,community_RandomForest_best_val_score,community_RandomForest_n_trials,community_RandomForest_param_n_estimators,community_RandomForest_param_max_depth,community_RandomForest_param_min_samples_split,community_RandomForest_param_min_samples_leaf,community_RandomForest_param_max_features
2_0,2,0,20250502_175448,13,112,32,0.07298906641832582,0.09333333333333334,0.8215085168980919,0.042217122601485225,8,0.0,3,0.9167812247811112,0.7972816464791839,0.5246878202617634,112,450,0.07239382239382239,8.035714285714286,0.07543355628964868,89.0,0.0003904878904878905,-0.10469621595913577,1,112,1.0,0.0935412026726058,0.07074735564418241,0.13874275398090302,0.08695652335882187,1.1270771026611328,0.03535353535353535,0.10416666666666667,0.0376984126984127,0.06192358366271409,0.08695652173913043,0.05693581780538303,1.9826239347457886,2.7660186290740967,0.13636364042758942,123,0.22727273404598236,15,0.0011207606211860567,7.309539835912905e-05,0.24561457009902096,16,2,True,batch,mean,97,0.0,0.36104893684387207,0.0,0.0,0.0,0.0,0.0,0.0,1.7582930326461792,2.66001033782959,0.09090909361839294,55,0.22727273404598236,15,0.0007309539835912913,3.8234752246751835e-05,0.40592644736118977,128,3,44,0.043478260869565216,0.20327162742614746,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.13636363636363635,15,178,13,10,10,log2
3_0,3,0,20250502_175516,5,64,32,0.07858947751867452,0.2865853658536585,0.3718979905749412,0.08676575654967578,8,0.0,3,0.6299085523602959,0.865459746799178,0.7494932960720542,64,164,0.08134920634920635,5.125,0.05505952380952381,19.0,0.00045602918586789556,1.1580111097958798,1,64,1.0,0.1172069825436409,0.07244582043343653,0.2360163488625816,0.0,0.6298239231109619,0.0,0.0,0.0,0.0,0.0,0.0,1.5380853414535522,1.6196895837783813,0.3333333432674408,52,0.5833333730697632,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,False,batch,mean,51,0.1428571492433548,0.46811485290527344,0.06222222222222222,0.2,0.09350649350649351,0.044444444444444446,0.14285714285714285,0.06679035250463823,1.4952548742294312,1.6311382055282593,0.3333333432674408,93,0.3333333432674408,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,72,0.07142857142857142,0.3070058822631836,0.05,0.1,0.06666666666666667,0.03571428571428571,0.07142857142857142,0.047619047619047616,0.25,15,267,13,8,1,sqrt
4_0,4,0,20250502_175550,6,108,32,0.1365107123889973,0.2673392181588903,0.8067078077450615,0.0456047651346866,10,0.0,3,0.762847902346479,0.929581157235087,0.3850091590343673,108,793,0.13724472135687088,14.685185185185185,0.13839905120490956,525.0,0.0025715629224710517,0.10844751581431444,1,108,1.0,0.22433862433862434,0.12021518725429339,0.30219789647066897,0.21739131212234497,1.540184736251831,0.17500000000000002,0.20833333333333334,0.18560606060606058,0.2,0.21739130434782608,0.20355731225296442,0.1378134787082672,2.5543994903564453,0.5714285969734192,168,0.5714285969734192,15,0.009892123303821951,1.075286667663971e-05,0.10546271953797012,32,2,False,batch,max,84,0.1304347813129425,0.32581543922424316,0.10416666666666667,0.051388888888888894,0.06825396825396825,0.2608695652173913,0.13043478260869565,0.17225672877846793,1.3193001747131348,2.9537720680236816,0.095238097012043,88,0.2857142984867096,15,0.0026070247583707684,1.0994335574766187e-05,0.5849549260809972,16,1,67,0.13043478260869565,0.32659196853637695,0.0673076923076923,0.125,0.08088235294117647,0.07023411371237458,0.13043478260869565,0.08439897698209718,0.23809523809523808,15,267,13,8,1,sqrt
5_0,5,0,20250502_175620,14,107,32,0.043562214788600145,0.08928571428571429,0.5655389146196601,0.07915343309326925,6,0.0,3,0.9602062071864732,0.7828409248909581,0.29721305952777205,106,224,0.04025157232704402,4.226415094339623,0.031850853548966745,9.0,4.665146174580137e-05,0.8093086613746605,1,106,1.0,0.0488997555012225,0.0395655546935609,0.10551255387122373,0.0,0.9018118381500244,0.0,0.0,0.0,0.0,0.0,0.0,1.454076886177063,3.049781322479248,0.190476194024086,72,0.2380952388048172,15,0.0011986281799901185,0.00041198396246051877,0.5480456499617467,128,3,True,none,max,52,0.04545454680919647,0.3628838062286377,0.017857142857142856,0.03571428571428571,0.023809523809523808,0.022727272727272728,0.045454545454545456,0.0303030303030303,2.2299554347991943,2.6649436950683594,0.1428571492433548,84,0.3333333432674408,15,0.00022580464162635998,0.0001512479576074298,0.26739758811161823,128,2,79,0.13636363636363635,0.13692831993103027,0.08333333333333333,0.10256410256410256,0.08974358974358973,0.11363636363636363,0.13636363636363635,0.1212121212121212,0.14285714285714285,15,95,6,4,6,
6_0,6,0,20250502_175652,15,142,32,0.055467690038858736,0.137524557956778,0.9782485938889842,0.09453447964967729,6,0.0,3,0.7108756275835424,0.8523331858208694,0.6006928876922945,142,509,0.05084407152132654,7.169014084507042,0.11295530851067628,185.0,0.0003959929791515048,0.9210742479885848,1,142,1.0,0.10574018126888217,0.046956893785431594,0.38496668952264856,0.17241379618644714,0.64443039894104,0.11410256410256411,0.1346153846153846,0.09332696289218029,0.13045977011494253,0.1724137931034483,0.11237238523595346,1.9633891582489014,2.7445807456970215,0.1785714328289032,56,0.2142857313156128,15,0.0011986281799901185,0.00041198396246051877,0.5480456499617467,128,3,True,none,max,52,0.0,0.471860408782959,0.0,0.0,0.0,0.0,0.0,0.0,0.07758817821741104,4.67185640335083,0.1071428656578064,95,0.1785714328289032,15,0.0010677482709481358,0.00015304852121831474,0.12322520635999887,128,3,87,0.0,0.2887721061706543,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,15,248,17,4,8,sqrt
7_0,7,0,20250502_175722,15,107,32,0.12522026645507392,0.16096866096866097,0.13756425811253958,0.06999760306858749,3,0.0,1,0.8054164506276646,0.90503260818251,0.5183272277348858,107,702,0.12378769176512079,13.121495327102803,0.27155839147135474,1025.0,0.005164118195329622,0.6274964211667912,1,107,1.0,0.3095890410958904,0.11100640784018093,0.472146414703344,0.27272728085517883,1.3936767578125,0.21031746031746032,0.27380952380952384,0.20476190476190476,0.2323232323232323,0.2727272727272727,0.2212121212121212,0.1767367273569107,7.174151420593262,0.190476194024086,152,0.2380952388048172,15,0.00853618986286683,0.0004138040112561013,0.2523068845866854,32,2,False,batch,sum,98,0.04545454680919647,0.560915470123291,0.016666666666666666,0.03333333333333333,0.02222222222222222,0.022727272727272728,0.045454545454545456,0.0303030303030303,2.4638898372650146,2.720651626586914,0.190476194024086,111,0.190476194024086,15,0.00023458812093460818,0.000282104047444198,0.31624374566492514,64,3,82,0.18181818181818182,0.18654847145080566,0.10073260073260074,0.14102564102564102,0.10940170940170943,0.14177489177489178,0.18181818181818182,0.1474747474747475,0.19047619047619047,15,144,20,8,6,sqrt
8_0,8,0,20250502_175759,8,156,32,0.07427407080570794,0.4122401847575058,0.7960367599017643,0.09493648347057805,10,0.0,2,0.38816144796031693,0.7437223527621932,0.2839916906331562,155,866,0.07255969836614998,11.174193548387096,0.23451592072714317,783.0,0.0012863796545010966,0.8934072877035604,1,155,1.0,0.23002577319587628,0.0490224405277858,0.6486453729724849,0.5161290168762207,1.0973806381225586,0.48412698412698413,0.4458333333333333,0.4089285714285714,0.5576036866359446,0.5161290322580645,0.4824884792626728,0.21811780333518982,2.6065118312835693,0.4193548262119293,121,0.5483870506286621,15,0.00853618986286683,0.0004138040112561013,0.2523068845866854,32,2,False,batch,sum,98,0.22580644488334656,0.6253716945648193,0.11478365384615385,0.16666666666666666,0.1235645933014354,0.1293424317617866,0.22580645161290322,0.1526161444667387,1.950778603553772,2.1254281997680664,0.16129031777381897,124,0.25806450843811035,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,72,0.06451612903225806,0.10132694244384766,0.03571428571428571,0.041666666666666664,0.03846153846153846,0.05529953917050691,0.06451612903225806,0.05955334987593051,0.25806451612903225,15,58,19,4,7,
9_0,9,0,20250502_175831,15,106,32,0.05415932492885303,0.35714285714285715,0.18622160946111532,0.02296868092306373,5,0.0,2,0.8262913649373523,0.7382705641646293,0.4484894862577792,105,308,0.05641025641025641,5.866666666666666,0.1293653150595058,104.0,0.0005547850208044383,1.1046163320438604,1,105,1.0,0.3142857142857143,0.03874755381604697,0.7804878048780488,0.4285714328289032,1.2284197807312012,0.3974358974358974,0.3384615384615385,0.3435897435897436,0.611111111111111,0.42857142857142855,0.4793650793650793,0.061462320387363434,3.8259339332580566,0.4285714328289032,139,0.523809552192688,15,0.00853618986286683,0.0004138040112561013,0.2523068845866854,32,2,False,batch,sum,98,0.0476190485060215,0.27375149726867676,0.016666666666666666,0.027777777777777776,0.020833333333333332,0.028571428571428574,0.047619047619047616,0.03571428571428571,1.8132901191711426,2.8591151237487793,0.095238097012043,56,0.2380952388048172,15,0.0007309539835912913,3.8234752246751835e-05,0.40592644736118977,128,3,44,0.14285714285714285,0.17943859100341797,0.10185185185185186,0.09722222222222221,0.08333333333333333,0.12698412698412698,0.14285714285714285,0.11111111111111109,0.09523809523809523,15,144,20,8,6,sqrt
10_0,10,0,20250502_175905,8,113,32,0.1365552503471571,1.0,0.30473620054107875,0.03980939192487555,6,0.0,3,0.8349950222048218,0.8735795472034292,0.6403103393964507,113,782,0.12357774968394437,13.84070796460177,0.9808727033459219,3521.0,0.015038268356852428,-0.09376715705300592,8,21,1.0,0.9811794228356336,0.0,1.0,1.0,2.822301149368286,1.0,1.0,1.0,1.0,1.0,1.0,0.026266418397426605,0.028994115069508553,1.0,300,1.0,15,0.0011207606211860567,7.309539835912905e-05,0.24561457009902096,16,2,True,batch,mean,97,0.0416666679084301,0.29712963104248047,0.011363636363636364,0.125,0.020833333333333336,0.003787878787878788,0.041666666666666664,0.006944444444444445,1.9708855152130127,2.101480007171631,0.13636364042758942,50,0.3181818127632141,15,0.0004066563313514797,1.5679933916722995e-05,0.4421165132560785,64,3,48,0.125,0.352891206741333,0.03173076923076923,0.10416666666666666,0.04864253393665158,0.038141025641025644,0.125,0.05844645550527903,0.22727272727272727,15,252,8,2,7,
