experiment_id,combination,repeat,timestamp,num_communities,num_nodes,feature_dim,feature_signal,randomness_factor,min_connection_strength,min_component_size,indirect_influence,node_count,edge_count,avg_degree,avg_communities_per_node,clustering_coefficient,triangle_count,triangle_density,homophily,power_law_exponent,density,connected_components,largest_component_size,GCN_accuracy,GCN_train_time,GCN_metrics_macro_precision,GCN_metrics_macro_recall,GCN_metrics_macro_f1,GCN_metrics_weighted_precision,GCN_metrics_weighted_recall,GCN_metrics_weighted_f1,GCN_final_train_loss,GCN_final_val_loss,GCN_best_val_acc,GCN_epochs_trained,MLP_accuracy,MLP_train_time,MLP_metrics_macro_precision,MLP_metrics_macro_recall,MLP_metrics_macro_f1,MLP_metrics_weighted_precision,MLP_metrics_weighted_recall,MLP_metrics_weighted_f1,MLP_final_train_loss,MLP_final_val_loss,MLP_best_val_acc,MLP_epochs_trained,RandomForest_accuracy,RandomForest_train_time,RandomForest_metrics_macro_precision,RandomForest_metrics_macro_recall,RandomForest_metrics_macro_f1,RandomForest_metrics_weighted_precision,RandomForest_metrics_weighted_recall,RandomForest_metrics_weighted_f1
0_0,0,0,20250430_105409,13,140,32,0.0,0.549563694891325,0.08813837880985353,8,0.47037151708792807,139,568,8.172661870503598,1.0,0.13218193869462325,221.0,0.0005045788821180441,0.2130281690140845,0.9049686600668612,0.05922218746741737,1,1.0,0.03448275849223137,1.0904197692871094,0.0047619047619047615,0.1,0.00909090909090909,0.0016420361247947454,0.034482758620689655,0.0031347962382445136,1.042064905166626,3.200388193130493,0.14814814925193787,102,0.17241379618644714,0.9814064502716064,0.12777777777777777,0.125,0.12328042328042328,0.18850574712643678,0.1724137931034483,0.17646414887794198,0.017809661105275154,7.1593146324157715,0.14814814925193787,229,0.13793103448275862,0.1408381462097168,0.125,0.18181818181818182,0.12727272727272726,0.12931034482758622,0.13793103448275862,0.11724137931034481
1_0,1,0,20250430_105411,12,117,32,0.0,0.2946899854393751,0.07019320890162362,9,0.4017117845490814,117,823,14.068376068376068,1.0,0.32627521054244896,1287.0,0.004947526236881559,0.0899149453219927,0.6401159234113678,0.12127910403772472,1,1.0,0.1666666716337204,1.3049349784851074,0.04027777777777777,0.10416666666666667,0.05416666666666667,0.05277777777777778,0.16666666666666666,0.075,1.2936031818389893,3.3054616451263428,0.1304347813129425,152,0.25,0.5344347953796387,0.08888888888888889,0.16666666666666666,0.11011904761904763,0.14444444444444446,0.25,0.17261904761904764,0.040312912315130234,5.000192165374756,0.17391304671764374,126,0.08333333333333333,0.14147067070007324,0.0625,0.0625,0.05555555555555555,0.10416666666666667,0.08333333333333333,0.08333333333333333
2_0,2,0,20250430_105414,11,144,32,0.0,0.7048361975173365,0.07198325820100998,7,0.09066292805215659,144,1022,14.194444444444445,1.0,0.2167256839907138,1233.0,0.0025300403821530582,0.005870841487279843,0.6457443577900781,0.09926184926184926,1,1.0,0.13333334028720856,1.4704022407531738,0.04297520661157025,0.0606060606060606,0.048614487117160904,0.09454545454545454,0.13333333333333333,0.106951871657754,1.2790522575378418,2.9473321437835693,0.1785714328289032,171,0.10000000894069672,0.5464506149291992,0.03471074380165289,0.1212121212121212,0.051693404634581115,0.04303030303030302,0.1,0.05816993464052288,0.060991425067186356,3.8164756298065186,0.1428571492433548,130,0.13333333333333333,0.1352672576904297,0.07272727272727274,0.13636363636363635,0.09469696969696968,0.07666666666666666,0.13333333333333333,0.0972222222222222
3_0,3,0,20250430_105417,12,159,32,0.0,0.9371895488758545,0.02794081194473559,4,0.3832025117842211,159,1679,21.11949685534591,1.0,0.25932011523979676,3794.0,0.005771579912954718,0.05658129839189994,0.6632463465925897,0.13366770161611335,1,1.0,0.0,0.9073371887207031,0.0,0.0,0.0,0.0,0.0,0.0,1.9167790412902832,2.8705742359161377,0.19354838132858276,107,0.03030303120613098,0.460613489151001,0.0303030303030303,0.022727272727272728,0.02597402597402598,0.0404040404040404,0.030303030303030304,0.03463203463203464,0.1150522232055664,4.610480785369873,0.12903225421905518,107,0.030303030303030304,0.14785218238830566,0.016666666666666666,0.020833333333333332,0.01851851851851852,0.024242424242424242,0.030303030303030304,0.02693602693602694
4_0,4,0,20250430_105420,10,132,32,0.0,0.576166674126867,0.07326804875943958,4,0.14124927508642598,132,1569,23.772727272727273,1.0,0.18436918030598082,2313.0,0.00617359739497144,0.05289993626513703,-0.9745112636666408,0.18147120055517002,1,1.0,0.18518519401550293,1.6420702934265137,0.13043478260869565,0.14814814814814814,0.08847736625514403,0.13687600644122383,0.18518518518518517,0.09945130315500686,1.6701128482818604,2.8763246536254883,0.11538462340831757,191,0.2222222238779068,0.42472267150878906,0.07407407407407407,0.14814814814814814,0.09876543209876543,0.1111111111111111,0.2222222222222222,0.14814814814814814,0.08838076144456863,4.664557456970215,0.07692307978868484,102,0.18518518518518517,0.1367502212524414,0.14814814814814814,0.2314814814814815,0.15952380952380954,0.1419753086419753,0.18518518518518517,0.14232804232804236
5_0,5,0,20250430_105422,15,107,32,0.0,0.7685001073627779,0.021310152518278266,8,0.2891269226683593,102,192,3.764705882352941,1.0,0.056808278867102394,12.0,6.9889341875364e-05,0.16145833333333334,0.9690488491888822,0.037274315666860805,1,1.0,0.095238097012043,1.4677684307098389,0.125,0.06944444444444443,0.08333333333333333,0.19047619047619047,0.09523809523809523,0.11904761904761904,0.21240343153476715,4.980469703674316,0.30000001192092896,170,0.1428571492433548,0.43968987464904785,0.044871794871794865,0.15384615384615385,0.06923076923076923,0.04365079365079365,0.14285714285714285,0.06666666666666667,0.04852861166000366,4.829797744750977,0.10000000149011612,101,0.047619047619047616,0.12777423858642578,0.009615384615384616,0.07692307692307693,0.017094017094017092,0.005952380952380952,0.047619047619047616,0.010582010582010581
6_0,6,0,20250430_105425,11,135,32,0.02,0.8961977982793955,0.057833123562731084,6,0.30574566719117163,135,1072,15.881481481481481,1.0,0.25836517759296634,1855.0,0.004625992842803526,0.025186567164179104,0.4290175083451363,0.11851851851851852,1,1.0,0.1111111119389534,1.23687744140625,0.029166666666666664,0.1,0.04327485380116959,0.032407407407407406,0.1111111111111111,0.04808317089018844,1.451967477798462,2.6017656326293945,0.18518519401550293,138,0.18518519401550293,0.5810670852661133,0.11666666666666668,0.14242424242424243,0.1168831168831169,0.18580246913580248,0.18518518518518517,0.17063492063492067,0.047455836087465286,2.6852900981903076,0.37037038803100586,136,0.18518518518518517,0.14555931091308594,0.22272727272727275,0.1621212121212121,0.12575757575757576,0.37407407407407406,0.18518518518518517,0.17839506172839506
7_0,7,0,20250430_105427,14,95,32,0.02,0.7493282557078487,0.03967100691787022,10,0.3600257997675534,94,287,6.1063829787234045,1.0,0.0644246415523011,31.0,0.00023126734505087883,0.041811846689895474,-0.5824617287278422,0.06566003202928392,1,1.0,0.10000000149011612,0.8983185291290283,0.013333333333333332,0.1,0.023529411764705882,0.013333333333333332,0.1,0.023529411764705882,0.9559580087661743,3.688086986541748,0.1111111119389534,101,0.05000000074505806,0.4310646057128906,0.009090909090909092,0.09090909090909091,0.01652892561983471,0.005,0.05,0.00909090909090909,0.03540293499827385,4.3552374839782715,0.1666666716337204,101,0.2,0.12849974632263184,0.07272727272727274,0.1212121212121212,0.07832167832167833,0.12,0.2,0.12923076923076923
8_0,8,0,20250430_105429,10,93,32,0.02,0.28059021597436895,0.07669828639239197,5,0.27838435994874533,93,730,15.698924731182796,1.0,0.18455733811995298,696.0,0.00536350045466455,0.08904109589041095,0.4874301167083918,0.17064048620850866,1,1.0,0.10000000149011612,0.9649674892425537,0.013888888888888888,0.1111111111111111,0.024691358024691357,0.0125,0.1,0.02222222222222222,1.4221200942993164,2.681868314743042,0.2222222238779068,112,0.10000000149011612,0.457444429397583,0.023148148148148147,0.16666666666666666,0.04056437389770723,0.014583333333333332,0.1,0.025396825396825397,0.027192892506718636,5.021894454956055,0.1666666716337204,109,0.0,0.13138079643249512,0.0,0.0,0.0,0.0,0.0,0.0
9_0,9,0,20250430_105432,15,163,32,0.02,0.12762318623775326,0.057723210127053226,3,0.06125957126854692,152,260,3.4210526315789473,1.0,0.05825573828476305,21.0,3.6598117811084e-05,0.3230769230769231,1.4413754700772365,0.02265597769257581,1,1.0,0.4516128897666931,1.5105154514312744,0.3619047619047619,0.43809523809523804,0.3471655328798186,0.4698924731182796,0.45161290322580644,0.42785458269329246,0.2930734157562256,3.435227155685425,0.36666667461395264,172,0.06451612710952759,0.4931213855743408,0.11538461538461539,0.03461538461538462,0.05274725274725275,0.20967741935483872,0.06451612903225806,0.09769585253456223,0.08509273082017899,4.912095069885254,0.13333334028720856,118,0.06451612903225806,0.14786791801452637,0.10714285714285714,0.049999999999999996,0.06802721088435373,0.14516129032258066,0.06451612903225806,0.0890937019969278
