run_id,timestamp,total_time,method,degree_distribution,n_graphs,universe_homophily,universe_edge_density,homophily_range_width,density_range_width,degree_heterogeneity,edge_noise,cluster_count_factor,cluster_variance,center_variance,assignment_skewness,community_exclusivity,universe_randomness_factor,family_n_graphs,family_node_counts_mean,family_node_counts_std,family_node_counts_min,family_node_counts_max,family_edge_counts_mean,family_edge_counts_std,family_edge_counts_min,family_edge_counts_max,family_community_counts_mean,family_community_counts_std,family_community_counts_min,family_community_counts_max,consistency_overall,consistency_pattern,consistency_fidelity,consistency_degree,signal_degree_signals_mean,signal_degree_signals_std,signal_structure_signals_mean,signal_structure_signals_std,signal_feature_signals_mean,signal_feature_signals_std,community_gcn_accuracy,community_gcn_f1_macro,community_gcn_train_time,community_gcn_success,community_sage_accuracy,community_sage_f1_macro,community_sage_train_time,community_sage_success,community_mlp_accuracy,community_mlp_f1_macro,community_mlp_train_time,community_mlp_success,community_rf_accuracy,community_rf_f1_macro,community_rf_train_time,community_rf_success
0,20250527_104955,13.602793216705322,dc_sbm,standard,12,0.0,0.02,0.0749080237694725,0.04753571532049581,0.7319939418114051,0.05986584841970366,0.6560186404424365,0.08643731496473929,0.09654458213061719,0.4330880728874676,0.8404460046972835,0.7080725777960455,12,88.16666666666667,5.7130455003342036,80.0,99.0,493.9166666666667,227.9307125470857,174.0,933.0,4.75,0.4330127018922193,4.0,5.0,0.5309803049323047,0.654005903897709,0.6749767115371127,-0.0030637062081195297,0.23176377422313957,0.06672140002496485,0.10871626545126573,0.10728566827622044,0.4870932352758642,0.10084883228022615,0.39114391143911437,0.3309510067454073,1.3315961360931396,True,0.5202952029520295,0.44980083049386443,0.7794876098632812,True,0.5350553505535055,0.4951017312609354,0.7273499965667725,True,0.5313653136531366,0.48459382632240133,0.33374881744384766,True
1,20250527_105006,11.64323115348816,dc_sbm,standard,12,0.0,0.02,0.02301091327795579,0.03045332696397407,0.13339096418598828,0.02405896199653488,0.8271390558111398,0.4309773705648129,1.0024744175160583,0.2705811061417019,0.6116055297697441,0.7337482962802829,12,88.16666666666667,6.053006599111625,82.0,100.0,496.0833333333333,214.0846632889791,141.0,859.0,4.75,0.4330127018922193,4.0,5.0,0.5428321326669022,0.6470307099083085,0.7047752445835415,0.010548754350811394,0.24887577399380809,0.03598390060296545,0.17043036859514762,0.18567921509740445,0.24557313648123313,0.07502406041148658,0.3035019455252918,0.2780989274901665,1.2367899417877197,True,0.4396887159533074,0.41251597250840905,1.06547212600708,True,0.42412451361867703,0.3737833552216478,0.7652204036712646,True,0.38910505836575876,0.35687625686167995,0.35387587547302246,True
2,20250527_105019,12.292221784591675,dc_sbm,standard,12,0.0,0.07,0.1669684297331299,0.005239805218493487,0.7446404816795178,0.03605008362562857,0.8593108378080719,0.3085268065028943,0.5967315311214946,0.20453630493044933,0.8039609638358426,0.7101479933270735,12,91.0,7.968688725254614,80.0,100.0,742.0,256.6774889493298,292.0,1076.0,4.5,0.5,4.0,5.0,0.5858211360578182,0.7102166095236361,0.7537259141216442,0.0012206329985305052,0.28741564900814126,0.06271385575086896,0.2129380212345157,0.21445130155686187,0.371481044381502,0.1142216797329778,0.25510204081632654,0.19692499851305537,1.8730013370513916,True,0.4523809523809524,0.4059175765811128,1.133960485458374,True,0.46938775510204084,0.4243362144457164,0.8155727386474609,True,0.41496598639455784,0.3737265030222777,0.3288414478302002,True
3,20250527_105030,11.628407716751099,dc_sbm,standard,12,0.0,0.07,0.19780230269512003,0.027477236342236273,0.28144730195506285,0.007728956607917271,0.9444694959718031,0.2416759051801878,0.08229778135060434,0.08166222410413337,0.6463802845991777,0.627391682704426,12,90.91666666666667,5.514501085521901,81.0,100.0,769.75,277.42570326725917,346.0,1268.0,4.333333333333333,0.4714045207910316,4.0,5.0,0.7021451234113203,0.8303967118981519,0.9226314010471084,0.004669391166080444,0.26996187363834423,0.05795235996868978,0.2930355529794102,0.2780613602300571,0.3508096945480847,0.08714541815051156,0.2801418439716312,0.15965712035853638,1.0300326347351074,True,0.5,0.4281583907784182,1.1178152561187744,True,0.4929078014184397,0.4229967577582213,0.722203254699707,True,0.475177304964539,0.41019780345171875,0.3265867233276367,True
4,20250527_105043,12.957525730133057,dc_sbm,standard,12,0.0,0.12000000000000001,0.15676647016115014,0.03174168530263651,0.24904309151574888,0.07580758646498177,0.8130769356316798,0.4692463051693148,0.07386951804487323,0.22043360171490223,0.9650889159740791,0.4550039189267788,12,91.91666666666667,5.155229276073848,81.0,100.0,976.25,302.18347765334005,564.0,1490.0,4.416666666666667,0.4930066485916346,4.0,5.0,0.6992221703987562,0.8357670363832107,0.9222281483417595,-0.019879517456159308,0.26434275025799797,0.04016335658212984,0.1897860803606433,0.19271796900933316,0.41643748575093076,0.10440921085554365,0.3236363636363636,0.22831646247323073,1.2009737491607666,True,0.6,0.5011283463635817,1.1920204162597656,True,0.56,0.4679796206278831,0.9329547882080078,True,0.4909090909090909,0.4092611737124212,0.33809781074523926,True
5,20250527_105057,13.812498092651367,dc_sbm,standard,12,0.0,0.12000000000000001,0.022697694378729906,0.048724154721822836,0.7287346335011062,0.03514678058927014,1.2076051382590811,0.4018062548134264,0.9718871632173558,0.20729980359408318,0.8824124045092037,0.2466493817746419,12,88.91666666666667,6.486631551806291,81.0,100.0,877.0833333333334,213.3750447503696,608.0,1258.0,4.5,0.5,4.0,5.0,0.6480626461291225,0.7671932238783735,0.8505414374175175,0.0048439080538305946,0.270666781332416,0.07406148900477709,0.23968560454916413,0.22333815525233705,0.3504596669947339,0.10169160012786539,0.2916666666666667,0.1705268153773137,2.6504504680633545,True,0.5227272727272727,0.46044787285909583,1.0628268718719482,True,0.4659090909090909,0.4076891669027848,0.6925978660583496,True,0.4659090909090909,0.4117731435167372,0.33498525619506836,True
6,20250527_105113,16.25907874107361,dc_sbm,standard,12,0.0,0.17,0.0034980541862305262,0.04457866335901292,0.2848611674739183,0.02989763774589579,1.2920342606554294,0.16899059276433212,1.298418476168485,0.22375631610693708,0.8192919625400377,0.3571719948299895,12,88.41666666666667,5.75120760265954,80.0,100.0,1000.4166666666666,266.27537698572297,601.0,1478.0,4.75,0.4330127018922193,4.0,5.0,0.5536747331364031,0.66831500441344,0.7133963060974109,0.004951044660314184,0.2249735552115583,0.05339700050161738,0.31433671948024255,0.415296998623903,0.5005116466494175,0.10377606160979362,0.3068181818181818,0.27469078287769433,4.010372877120972,True,0.7083333333333334,0.709123779359714,1.1790297031402588,True,0.7159090909090909,0.7176728735073543,0.7637050151824951,True,0.5909090909090909,0.5879288739329448,0.3239586353302002,True
7,20250527_105126,12.82931661605835,dc_sbm,standard,12,0.0,0.17,0.06019289117118292,0.012353091598090721,0.9263351350591756,0.0891603438277764,1.183276759974987,0.2877734831548394,0.8249791615621173,0.10521191799338292,0.9079017872741743,0.8962301009569733,12,92.25,4.584848234492973,83.0,99.0,1142.1666666666667,203.50013650009072,806.0,1410.0,4.666666666666667,0.4714045207910316,4.0,5.0,0.6222501682576753,0.7535580225235274,0.8317608671105382,-0.059386937979754945,0.2075732427473913,0.03796479550213042,0.16360429516646197,0.16631982177537022,0.44100581758594276,0.12233761960422261,0.2819548872180451,0.27310294607173224,1.838341474533081,True,0.6353383458646616,0.6193711162631956,1.644735336303711,True,0.6240601503759399,0.6154760327554445,1.2967543601989746,True,0.575187969924812,0.555578021772098,0.35672473907470703,True
9,20250527_105145,10.736385107040405,dc_sbm,standard,12,0.2,0.02,0.13514628310071047,0.002235609110147302,0.3433036725425923,0.0644019727019831,0.7842129987402895,0.4751755252585025,0.2449285514729083,0.19398648121138118,0.8359974705889257,0.48779579131284057,12,88.75,4.884072754030868,83.0,98.0,319.6666666666667,142.7120254996832,137.0,570.0,4.333333333333333,0.4714045207910317,4.0,5.0,0.5318174484063748,0.476405765770555,0.7713379516889445,0.16359980711287492,0.36105456656346746,0.1075326639403281,0.07134675296816277,0.04080347638892641,0.28936677366617586,0.13106244911465245,0.30739299610894943,0.2525455120191963,0.864011287689209,True,0.377431906614786,0.3119570427517714,0.9552218914031982,True,0.4280155642023346,0.34841725374192906,0.8491859436035156,True,0.377431906614786,0.31743344975856835,0.33976006507873535,True
10,20250527_105157,11.415775060653687,dc_sbm,standard,12,0.2,0.07,0.1646220681419584,0.0013058990784933667,0.21077063993129397,0.061842176934961024,0.5982844653368992,0.31386434183966083,0.09029642720168118,0.48032702890211926,0.9921717496860294,0.5211276502712239,12,90.5,6.075908711186061,80.0,99.0,691.9166666666666,232.46880017661627,337.0,1077.0,4.5,0.5,4.0,5.0,0.6381924416411952,0.8147227516336465,0.8717089413948308,-0.18190117785097884,0.4310699031074418,0.09605701421666071,0.06783058719677258,0.04135174013276413,0.4078075113311181,0.10802147628433875,0.31620553359683795,0.2210057140692979,1.1414155960083008,True,0.4308300395256917,0.3521402389850517,0.9752235412597656,True,0.4150197628458498,0.3396238072822301,1.1904282569885254,True,0.39920948616600793,0.3289734702128763,0.37896132469177246,True
