experiment_id,combination,repeat,timestamp,num_communities,num_nodes,feature_dim,edge_density,homophily,randomness_factor,min_connection_strength,min_component_size,indirect_influence,regimes_per_community,intra_community_regime_similarity,inter_community_regime_similarity,feature_regime_balance,density,node_count,avg_degree,clustering_coefficient,power_law_exponent,connected_components,largest_component_size,community_GCN_accuracy,community_GCN_train_time,community_GCN_metrics_macro_precision,community_GCN_metrics_macro_recall,community_GCN_metrics_macro_f1,community_GCN_metrics_weighted_precision,community_GCN_metrics_weighted_recall,community_GCN_metrics_weighted_f1,community_GCN_final_train_loss,community_GCN_final_val_loss,community_GCN_best_val_acc,community_GCN_epochs_trained,community_GCN_best_val_score,community_GCN_n_trials,community_GCN_param_lr,community_GCN_param_weight_decay,community_GCN_param_dropout,community_GCN_param_hidden_dim,community_GCN_param_num_layers,community_GCN_param_residual,community_GCN_param_norm_type,community_GCN_param_agg_type,community_GCN_param_patience,community_SAGE_accuracy,community_SAGE_train_time,community_SAGE_metrics_macro_precision,community_SAGE_metrics_macro_recall,community_SAGE_metrics_macro_f1,community_SAGE_metrics_weighted_precision,community_SAGE_metrics_weighted_recall,community_SAGE_metrics_weighted_f1,community_SAGE_final_train_loss,community_SAGE_final_val_loss,community_SAGE_best_val_acc,community_SAGE_epochs_trained,community_SAGE_best_val_score,community_SAGE_n_trials,community_SAGE_param_lr,community_SAGE_param_weight_decay,community_SAGE_param_dropout,community_SAGE_param_hidden_dim,community_SAGE_param_num_layers,community_SAGE_param_residual,community_SAGE_param_norm_type,community_SAGE_param_agg_type,community_SAGE_param_patience,community_MLP_accuracy,community_MLP_train_time,community_MLP_metrics_macro_precision,community_MLP_metrics_macro_recall,community_MLP_metrics_macro_f1,community_MLP_metrics_weighted_precision,community_MLP_metrics_weighted_recall,community_MLP_metrics_weighted_f1,community_MLP_final_train_loss,community_MLP_final_val_loss,community_MLP_best_val_acc,community_MLP_epochs_trained,community_MLP_best_val_score,community_MLP_n_trials,community_MLP_param_lr,community_MLP_param_weight_decay,community_MLP_param_dropout,community_MLP_param_hidden_dim,community_MLP_param_num_layers,community_MLP_param_patience,community_RandomForest_accuracy,community_RandomForest_train_time,community_RandomForest_metrics_macro_precision,community_RandomForest_metrics_macro_recall,community_RandomForest_metrics_macro_f1,community_RandomForest_metrics_weighted_precision,community_RandomForest_metrics_weighted_recall,community_RandomForest_metrics_weighted_f1,community_RandomForest_best_val_score,community_RandomForest_n_trials,community_RandomForest_param_n_estimators,community_RandomForest_param_max_depth,community_RandomForest_param_min_samples_split,community_RandomForest_param_min_samples_leaf,community_RandomForest_param_max_features,distribution_type,power_law_target_avg_degree,exponential_rate,exponential_target_avg_degree,uniform_min_factor,uniform_max_factor,uniform_target_avg_degree,max_mean_community_deviation,max_max_community_deviation,parameter_search_range,max_parameter_search_attempts,max_retries
0_0,0,0,20250515_120558,8,70,32,0.02568897563509656,0.014285714285714285,0.8028569537547634,0.06699084471660773,5,0.0,1,0.2,0.971361015192165,0.43268470409943627,0.034722222222222224,64,2.1875,0.05388580544830544,1.7167646593538393,1,64,0.1428571492433548,0.7134571075439453,0.14583333333333334,0.10416666666666666,0.1111111111111111,0.17857142857142858,0.14285714285714285,0.14285714285714285,0.8875748515129089,3.16701602935791,0.1666666716337204,53,0.4166666865348816,15,0.0011986281799901185,0.00041198396246051877,0.5480456499617467,128,3,True,none,max,52,0.1428571492433548,1.0135164260864258,0.0625,0.0625,0.0625,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.5194525718688965,2.46172833442688,0.3333333432674408,102,0.3333333432674408,15,0.0003993623495534839,5.959206131645761e-05,0.1486800782254477,16,2,True,batch,mean,82,0.2142857313156128,0.5988931655883789,0.03571428571428571,0.14285714285714285,0.05714285714285715,0.05357142857142857,0.21428571428571427,0.08571428571428573,0.012432519346475601,3.925462007522583,0.1666666716337204,88,0.25,15,0.0010677482709481358,0.00015304852121831474,0.12322520635999887,128,3,87,0.21428571428571427,0.1532294750213623,0.09999999999999999,0.3333333333333333,0.1360544217687075,0.09761904761904762,0.21428571428571427,0.11564625850340136,0.08333333333333333,15,144,20,8,6,sqrt,power_law,5.6875402293328605,,,,,,0.1,0.2,1.5,100,15
1_0,1,0,20250515_120632,5,147,32,0.04067325048623397,0.0017452006980802793,0.18019575412814792,0.08428144867479476,8,0.0,2,0.30000000000000004,0.9016906126671339,0.12468632344645797,0.05339670114621191,147,7.795918367346939,0.11454683144347241,,1,147,0.1666666716337204,1.2268738746643066,0.08441558441558442,0.17714285714285713,0.10158730158730159,0.08939393939393939,0.16666666666666666,0.10370370370370369,1.618019461631775,1.7948459386825562,0.24137930572032928,70,0.41379308700561523,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,False,batch,mean,51,0.36666667461395264,1.1973581314086914,0.3117748917748918,0.3873809523809524,0.32246642246642254,0.3372727272727272,0.36666666666666664,0.32863247863247863,0.004915719851851463,2.221315383911133,0.48275861144065857,130,0.5862069129943848,15,0.00853618986286683,0.0004138040112561013,0.2523068845866854,32,2,False,batch,sum,98,0.10000000894069672,0.9775514602661133,0.031578947368421054,0.12,0.05,0.026315789473684213,0.1,0.041666666666666664,1.195496678352356,1.6081836223602295,0.37931033968925476,143,0.37931033968925476,15,0.0004066563313514797,1.5679933916722995e-05,0.4421165132560785,64,3,48,0.2,0.15259885787963867,0.16857142857142854,0.25166666666666665,0.14400000000000002,0.18095238095238095,0.2,0.12666666666666668,0.27586206896551724,15,144,20,8,6,sqrt,exponential,,0.1467057695665698,2.426511340111687,,,,0.1,0.2,1.5,100,15
2_0,2,0,20250515_120704,11,85,32,0.04489777186651926,0.0,0.5042634607930315,0.03930797630699999,4,0.0,2,0.4000000000000001,0.961002670023732,0.34778659915680965,0.04701733764325595,83,3.855421686746988,0.05200598676856649,,1,83,0.0,1.2035009860992432,0.0,0.0,0.0,0.0,0.0,0.0,0.5328863859176636,4.5342631340026855,0.125,94,0.3125,15,0.0046942565488985654,3.0399271322334908e-05,0.3282716783254815,32,2,False,batch,max,85,0.0555555559694767,1.0885601043701172,0.012987012987012986,0.045454545454545456,0.020202020202020204,0.015873015873015872,0.05555555555555555,0.02469135802469136,1.1098809242248535,2.6472322940826416,0.1875,106,0.25,15,0.0011207606211860567,7.309539835912905e-05,0.24561457009902096,16,2,True,batch,mean,97,0.1666666716337204,0.43311285972595215,0.09090909090909091,0.13636363636363635,0.10606060606060605,0.1111111111111111,0.16666666666666666,0.12962962962962962,1.9861202239990234,2.5906453132629395,0.125,72,0.3125,15,0.00023214845385730715,5.959206131645761e-05,0.2649290536780784,128,2,54,0.1111111111111111,0.14646267890930176,0.030952380952380953,0.1,0.04722222222222222,0.03439153439153439,0.1111111111111111,0.05246913580246913,0.1875,15,144,20,8,6,sqrt,standard,,,,,,,0.1,0.2,1.5,100,15
3_0,3,0,20250515_120733,14,148,32,0.07642635290216349,0.0,0.8194278536703651,0.029580797314575778,3,0.0,2,0.5000000000000001,0.85840034634085,0.48408626236182906,0.07574921860636147,148,11.135135135135135,0.1422338206608538,,1,148,0.0,1.3385484218597412,0.0,0.0,0.0,0.0,0.0,0.0,0.4935920834541321,5.321343421936035,0.06896551698446274,103,0.13793103396892548,15,0.00853618986286683,0.0004138040112561013,0.2523068845866854,32,2,False,batch,sum,98,0.12903225421905518,1.098609447479248,0.16071428571428573,0.14285714285714285,0.13311688311688313,0.1532258064516129,0.12903225806451613,0.1158357771260997,2.4201669692993164,2.6105692386627197,0.10344827175140381,80,0.27586206793785095,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,False,batch,mean,51,0.032258063554763794,0.45769596099853516,0.002976190476190476,0.017857142857142856,0.00510204081632653,0.005376344086021505,0.03225806451612903,0.009216589861751152,1.756616473197937,2.7980849742889404,0.24137930572032928,65,0.24137930572032928,15,0.0007309539835912913,3.8234752246751835e-05,0.40592644736118977,128,3,44,0.06451612903225806,0.16916918754577637,0.024489795918367346,0.041666666666666664,0.030158730158730163,0.03963133640552995,0.06451612903225806,0.04802867383512545,0.1724137931034483,15,144,20,8,6,sqrt,standard,,,,,,,0.1,0.2,1.5,100,15
4_0,4,0,20250515_120808,10,135,32,0.11151816984240623,0.0,0.7533775452463684,0.08107342513765374,9,0.0,1,0.6000000000000001,0.8716446103412919,0.8064461833860539,0.05793255942509674,135,7.762962962962963,0.12345012978208066,,1,135,0.1111111119389534,1.83980131149292,0.1,0.16666666666666666,0.11666666666666665,0.08641975308641976,0.1111111111111111,0.09259259259259259,2.314425468444824,2.270148754119873,0.25925925374031067,104,0.2222222238779068,15,0.0004470608546778491,0.0002878805718308924,0.4187787356776066,16,3,False,batch,sum,75,0.03703703731298447,1.103835105895996,0.014285714285714285,0.03333333333333333,0.02,0.015873015873015872,0.037037037037037035,0.022222222222222227,1.9119054079055786,2.5289971828460693,0.14814814925193787,86,0.25925925374031067,15,0.00010994091882234051,1.028002961790561e-05,0.10377365965814661,64,3,True,layer,max,34,0.14814814925193787,0.6411323547363281,0.12625,0.18333333333333332,0.09033613445378152,0.14305555555555555,0.14814814814814814,0.10224089635854343,0.15156595408916473,4.4526214599609375,0.18518519401550293,94,0.2222222238779068,15,0.0021137059440645744,4.201672054372529e-05,0.3600340105889054,64,3,93,0.037037037037037035,0.15440869331359863,0.02,0.025,0.022222222222222223,0.02962962962962963,0.037037037037037035,0.03292181069958848,0.18518518518518517,15,144,20,8,6,sqrt,exponential,,0.46914788353762293,3.842997429754373,,,,0.1,0.2,1.5,100,15
5_0,5,0,20250515_120843,15,108,32,0.11962566647246073,0.0,0.6579499112045923,0.07180158364561305,10,0.0,1,0.7000000000000002,0.9433013783213471,0.5320634575377566,0.06715126341294565,108,7.185185185185185,0.0974794481043764,,1,108,0.043478261679410934,5.251489877700806,0.07142857142857142,0.03571428571428571,0.047619047619047616,0.08695652173913043,0.043478260869565216,0.05797101449275362,2.3645217418670654,2.8521907329559326,0.190476194024086,300,0.2380952388048172,15,0.0004470608546778491,0.0002878805718308924,0.4187787356776066,16,3,False,batch,sum,75,0.1304347813129425,0.8497214317321777,0.04175824175824176,0.15384615384615385,0.0631868131868132,0.040993788819875775,0.13043478260869565,0.060559006211180134,0.012132270261645317,4.767577648162842,0.095238097012043,86,0.3333333432674408,15,0.006906649231498414,0.00011308954916705187,0.3166941446276055,32,2,True,batch,max,81,0.0,0.7115910053253174,0.0,0.0,0.0,0.0,0.0,0.0,0.03697744756937027,4.135671138763428,0.190476194024086,98,0.2857142984867096,15,0.0017643967683381545,4.589824181495648e-05,0.13177917514301182,64,3,63,0.0,0.10698223114013672,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,15,58,19,4,7,,exponential,,0.7746528559489961,4.182689106296602,,,,0.1,0.2,1.5,100,15
6_0,6,0,20250515_120913,12,92,32,0.07578943395458185,0.0,0.07489584200198374,0.08699780156950197,10,0.0,2,0.8000000000000003,0.9365211879457384,0.1953683542724587,0.02197802197802198,92,2.0,0.0,,3,50,0.15789473056793213,1.2779536247253418,0.06527777777777777,0.20833333333333334,0.0988095238095238,0.051754385964912275,0.15789473684210525,0.0774436090225564,0.14619065821170807,6.924384593963623,0.3333333432674408,100,0.2222222238779068,15,0.00853618986286683,0.0004138040112561013,0.2523068845866854,32,2,False,batch,sum,98,0.05263157933950424,0.7102487087249756,0.08333333333333333,0.041666666666666664,0.05555555555555555,0.10526315789473684,0.05263157894736842,0.07017543859649122,2.2936136722564697,2.587891101837158,0.0555555559694767,52,0.3333333432674408,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,False,batch,mean,51,0.05263157933950424,0.424271821975708,0.006993006993006993,0.09090909090909091,0.01298701298701299,0.004048582995951417,0.05263157894736842,0.007518796992481204,1.4609142541885376,2.7052276134490967,0.0,62,0.2777777910232544,15,0.0007309539835912913,3.8234752246751835e-05,0.40592644736118977,128,3,44,0.10526315789473684,0.3052222728729248,0.1,0.1212121212121212,0.061983471074380174,0.1631578947368421,0.10526315789473684,0.08851674641148326,0.16666666666666666,15,252,8,2,7,,uniform,,,,0.32552273557793293,0.39801809866066584,8.67331286566753,0.1,0.2,1.5,100,15
7_0,7,0,20250515_120946,5,66,32,0.0790438761557718,0.0,0.41227972783166555,0.04007032799125602,8,0.0,3,0.9000000000000001,0.9018437490364603,0.7526155237080857,0.08344988344988345,66,5.424242424242424,0.1610080045850797,,1,66,0.2142857313156128,1.200761318206787,0.1,0.26666666666666666,0.13714285714285715,0.08928571428571429,0.21428571428571427,0.11836734693877551,1.1444894075393677,2.3391926288604736,0.3076923191547394,69,0.5384615659713745,15,0.00012150104649007403,1.028002961790561e-05,0.10377365965814661,128,3,False,batch,max,33,0.2857142984867096,0.9270679950714111,0.19047619047619047,0.26666666666666666,0.21333333333333332,0.20408163265306123,0.2857142857142857,0.2285714285714286,0.001721786567941308,3.2095742225646973,0.46153849363327026,95,0.5384615659713745,15,0.009099061962969302,1.028002961790561e-05,0.10377365965814661,32,2,False,batch,max,82,0.2142857313156128,0.523047924041748,0.05454545454545454,0.2,0.08571428571428572,0.05844155844155844,0.21428571428571427,0.09183673469387754,0.09307590126991272,2.966594934463501,0.3076923191547394,88,0.46153849363327026,15,0.005368741214718693,0.00018877457901429103,0.23809694172477155,16,2,79,0.21428571428571427,0.1781764030456543,0.05,0.2,0.08,0.05357142857142857,0.21428571428571427,0.08571428571428573,0.3076923076923077,15,139,8,6,2,,standard,,,,,,,0.1,0.2,1.5,100,15
8_0,8,0,20250515_121020,9,68,32,0.10259203507208174,0.0,0.19648696695621115,0.02331978604079251,6,0.0,2,1.0000000000000002,0.9500391171188021,0.4483170587198012,0.05267778753292362,68,3.5294117647058822,0.07833428826075883,2.906240228788276,1,68,0.13333334028720856,1.7949070930480957,0.034567901234567905,0.1111111111111111,0.05194805194805195,0.04148148148148148,0.13333333333333333,0.062337662337662345,2.0069005489349365,3.0683705806732178,0.1538461595773697,96,0.23076924681663513,15,0.00014096175149815865,0.0009413993046829941,0.4861223846483287,64,3,True,layer,mean,52,0.06666667014360428,0.5999836921691895,0.013888888888888888,0.05555555555555555,0.022222222222222223,0.016666666666666666,0.06666666666666667,0.02666666666666667,0.35581284761428833,2.831465005874634,0.1538461595773697,48,0.38461539149284363,15,0.0022270414378132127,0.0004943018624063403,0.5937920803636143,128,3,False,none,max,45,0.06666667014360428,0.46587085723876953,0.022222222222222223,0.05555555555555555,0.03174603174603175,0.02666666666666667,0.06666666666666667,0.0380952380952381,0.08639344573020935,3.815631628036499,0.0,75,0.3076923191547394,15,0.007767353816237063,0.00023367493808810797,0.25384710572513136,16,2,70,0.06666666666666667,0.15384244918823242,0.012345679012345678,0.05555555555555555,0.0202020202020202,0.014814814814814814,0.06666666666666667,0.02424242424242424,0.0,15,144,20,8,6,sqrt,power_law,6.0347164040308225,,,,,,0.1,0.2,1.5,100,15
9_0,9,0,20250515_121057,7,74,32,0.11742075886415068,0.09152542372881356,0.5719122038506007,0.05317886615739768,2,0.0,3,0.2,0.9544644710554161,0.6617168769454636,0.10921880784894483,74,7.972972972972973,0.15655467081937666,,1,74,0.1875,2.1655263900756836,0.09999999999999999,0.25,0.12244897959183675,0.11875000000000001,0.1875,0.125,1.4688514471054077,2.4726340770721436,0.2142857313156128,124,0.3571428656578064,15,0.00014096175149815865,0.0009413993046829941,0.4861223846483287,64,3,True,layer,mean,52,0.125,1.40287446975708,0.19047619047619047,0.10714285714285714,0.1142857142857143,0.2916666666666667,0.125,0.15000000000000002,0.6255666613578796,2.0439467430114746,0.2857142984867096,137,0.2857142984867096,15,0.0011207606211860567,7.309539835912905e-05,0.24561457009902096,16,2,True,batch,mean,97,0.3125,0.6180458068847656,0.14880952380952378,0.2857142857142857,0.1836734693877551,0.19791666666666666,0.3125,0.22767857142857145,0.014644346199929714,4.064812183380127,0.2142857313156128,89,0.2857142984867096,15,0.0010677482709481358,0.00015304852121831474,0.12322520635999887,128,3,87,0.0625,0.28653836250305176,0.02040816326530612,0.07142857142857142,0.03174603174603175,0.017857142857142856,0.0625,0.02777777777777778,0.14285714285714285,15,267,13,8,1,sqrt,standard,,,,,,,0.1,0.2,1.5,100,15
