experiment_id,combination,repeat,timestamp,num_communities,num_nodes,feature_dim,edge_density,homophily,randomness_factor,min_connection_strength,min_component_size,indirect_influence,regimes_per_community,intra_community_regime_similarity,inter_community_regime_similarity,feature_regime_balance,node_count,edge_count,density,avg_degree,clustering_coefficient,triangle_count,triangle_density,power_law_exponent,connected_components,largest_component_size,avg_communities_per_node,intra_community_density,inter_community_density,empirical_homophily,role_GCN_accuracy,role_GCN_train_time,role_GCN_metrics_macro_precision,role_GCN_metrics_macro_recall,role_GCN_metrics_macro_f1,role_GCN_metrics_weighted_precision,role_GCN_metrics_weighted_recall,role_GCN_metrics_weighted_f1,role_GCN_final_train_loss,role_GCN_final_val_loss,role_GCN_best_val_acc,role_GCN_epochs_trained,role_GCN_best_val_score,role_GCN_n_trials,role_GCN_param_lr,role_GCN_param_weight_decay,role_GCN_param_dropout,role_GCN_param_hidden_dim,role_GCN_param_num_layers,role_GCN_param_residual,role_GCN_param_norm_type,role_GCN_param_agg_type,role_GCN_param_patience,role_MLP_accuracy,role_MLP_train_time,role_MLP_metrics_macro_precision,role_MLP_metrics_macro_recall,role_MLP_metrics_macro_f1,role_MLP_metrics_weighted_precision,role_MLP_metrics_weighted_recall,role_MLP_metrics_weighted_f1,role_MLP_final_train_loss,role_MLP_final_val_loss,role_MLP_best_val_acc,role_MLP_epochs_trained,role_MLP_best_val_score,role_MLP_n_trials,role_MLP_param_lr,role_MLP_param_weight_decay,role_MLP_param_dropout,role_MLP_param_hidden_dim,role_MLP_param_num_layers,role_MLP_param_patience,role_RandomForest_accuracy,role_RandomForest_train_time,role_RandomForest_metrics_macro_precision,role_RandomForest_metrics_macro_recall,role_RandomForest_metrics_macro_f1,role_RandomForest_metrics_weighted_precision,role_RandomForest_metrics_weighted_recall,role_RandomForest_metrics_weighted_f1,role_RandomForest_best_val_score,role_RandomForest_n_trials,role_RandomForest_param_n_estimators,role_RandomForest_param_max_depth,role_RandomForest_param_min_samples_split,role_RandomForest_param_min_samples_leaf,role_RandomForest_param_max_features
2_0,2,0,20250502_174324,8,155,32,0.08026828334323469,0.1605316973415133,0.6480483734780687,0.04658724480121444,5,0.0,2,0.6419591454591945,0.31456110966949974,0.5841946353345618,155,978,0.08194386258902388,12.619354838709677,0.08510408186529222,344.0,0.0005651527473159351,0.5932948515307558,1,155,1.0,0.10089974293059126,0.07910203295115137,0.1210971940285774,0.8709677457809448,0.9893479347229004,0.2903225806451613,0.3333333333333333,0.3103448275862069,0.7585848074921956,0.8709677419354839,0.8109010011123471,0.0865410640835762,1.0804630517959595,0.9032257795333862,115,0.9354838132858276,15,0.008591677884604798,2.683757500475256e-05,0.1486800782254477,128,2,True,batch,sum,100,0.8387096524238586,0.6193339824676514,0.2888888888888889,0.32098765432098764,0.304093567251462,0.7548387096774194,0.8387096774193549,0.7945670628183362,0.003940150141716003,0.9687574505805969,0.9032257795333862,131,0.9032257795333862,15,0.0010677482709481358,0.00015304852121831474,0.12322520635999887,128,3,87,0.8709677419354839,0.1586751937866211,0.2903225806451613,0.3333333333333333,0.3103448275862069,0.7585848074921956,0.8709677419354839,0.8109010011123471,0.8709677419354839,15,144,20,8,6,sqrt
3_0,3,0,20250502_174354,13,72,32,0.09922144924619129,0.09053497942386832,0.6140154148945852,0.04454126565223612,10,0.0,3,0.9500773757238277,0.3626115813925677,0.9961151701929123,72,243,0.09507042253521127,6.75,0.24731986170506945,201.0,0.0033702213279678066,0.8612789539483762,1,72,1.0,0.12087912087912088,0.09309182813816344,0.12986479177934013,0.6000000238418579,1.6975452899932861,0.38888888888888884,0.5833333333333334,0.45751633986928103,0.45555555555555555,0.6,0.5098039215686275,0.5814454555511475,1.1515530347824097,0.7142857313156128,197,0.7142857313156128,15,0.0011207606211860567,7.309539835912905e-05,0.24561457009902096,16,2,True,batch,mean,97,0.5333333611488342,0.45105409622192383,0.17777777777777778,0.3333333333333333,0.23188405797101452,0.28444444444444444,0.5333333333333333,0.37101449275362325,0.0026837310288101435,2.5895285606384277,0.5714285969734192,95,0.6428571939468384,15,0.0010677482709481358,0.00015304852121831474,0.12322520635999887,128,3,87,0.6,0.14808917045593262,0.5238095238095238,0.4444444444444444,0.4090909090909091,0.5047619047619047,0.6,0.4878787878787879,0.5714285714285714,15,144,20,8,6,sqrt
4_0,4,0,20250502_174425,12,132,32,0.09352005890055581,0.16666666666666666,0.6373048264283244,0.0344840288377718,6,0.0,3,0.9801031035932366,0.13806820815159693,0.24651632440971505,132,828,0.09576682859125607,12.545454545454545,0.09752261191186036,336.0,0.0008968131105535686,-0.3530008605299434,1,132,1.0,0.1830238726790451,0.08743030917384693,0.35345566798147826,0.7777777910232544,1.0575308799743652,0.3888888888888889,0.5,0.43750000000000006,0.6049382716049382,0.7777777777777778,0.6805555555555557,0.5682167410850525,0.7361142039299011,0.8076923489570618,90,0.8461538553237915,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,False,batch,mean,51,0.7037037014961243,0.7848367691040039,0.38,0.4523809523809524,0.41304347826086957,0.5911111111111111,0.7037037037037037,0.6425120772946861,0.018831957131624222,1.9050183296203613,0.884615421295166,165,0.884615421295166,15,0.0021137059440645744,4.201672054372529e-05,0.3600340105889054,64,3,93,0.8148148148148148,0.3493630886077881,0.9038461538461539,0.5833333333333334,0.5896656534954408,0.8504273504273505,0.8148148148148148,0.7585275244849713,0.8846153846153846,15,267,13,8,1,sqrt
5_0,5,0,20250502_174457,9,143,32,0.14617522517569825,0.20066666666666666,0.39505843451227507,0.09769374152230786,8,0.0,2,0.7521862465695761,0.4835578086856807,0.6921053978139172,143,1500,0.14773958435930268,20.97902097902098,0.15176576637487346,1598.0,0.0033487639121441938,-0.3502011947961187,1,143,1.0,0.2726449275362319,0.1325008288208642,0.34591032120263515,0.5666667222976685,1.5761077404022217,0.37888198757763975,0.3733974358974359,0.3555555555555556,0.5490683229813664,0.5666666666666667,0.5288888888888889,0.6153923273086548,1.0874850749969482,0.5,180,0.6071428656578064,15,0.0011207606211860567,7.309539835912905e-05,0.24561457009902096,16,2,True,batch,mean,97,0.46666669845581055,0.7267558574676514,0.28571428571428575,0.3060897435897436,0.28910728910728917,0.42380952380952386,0.4666666666666667,0.4352989352989353,0.0010885552037507296,2.6220057010650635,0.6428571939468384,146,0.6785714626312256,15,0.0010677482709481358,0.00015304852121831474,0.12322520635999887,128,3,87,0.5333333333333333,0.1635274887084961,0.17777777777777778,0.3333333333333333,0.23188405797101452,0.28444444444444444,0.5333333333333333,0.37101449275362325,0.5357142857142857,15,144,20,8,6,sqrt
6_0,6,0,20250502_174523,11,91,32,0.020733908572769688,0.18292682926829268,0.13401832216412268,0.08312195535633896,10,0.0,3,0.8329228017930319,0.09044968601218306,0.45787405217243204,66,82,0.03822843822843823,2.484848484848485,0.010437710437710438,1.0,2.1853146853146853e-05,1.8909240801057186,1,66,1.0,0.08196721311475409,0.034148827726809376,0.41181549974814713,0.5,1.3205761909484863,0.5,0.5,0.4269005847953216,0.5,0.5,0.4269005847953216,0.22637440264225006,0.8059988021850586,0.692307710647583,150,0.9230769872665405,15,0.0009525889086580769,0.0009360540102485373,0.2210276357557502,32,2,False,layer,mean,71,0.5,0.5506465435028076,0.25,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333,0.00217260024510324,2.0818631649017334,0.7692307829856873,113,0.8461538553237915,15,0.0021137059440645744,4.201672054372529e-05,0.3600340105889054,64,3,93,0.5,0.11099433898925781,0.25,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333,0.8461538461538461,15,95,6,4,6,
7_0,7,0,20250502_174553,10,115,32,0.11859521434198045,0.24452554744525548,0.20560491903913336,0.08434248748497386,3,0.0,2,0.7660599301023532,0.21711834830569787,0.3873334208566924,115,822,0.12540045766590388,14.295652173913043,0.18829730468056974,897.0,0.003632976245924546,0.6902253021988123,1,115,1.0,0.3106646058732612,0.10511171293161814,0.4943833586590281,0.5652173757553101,0.9547183513641357,0.5807692307692307,0.5833333333333333,0.5643939393939394,0.6066889632107023,0.5652173913043478,0.5685111989459817,0.43055102229118347,0.7902376651763916,0.782608687877655,110,0.9130434989929199,15,0.0019480005358814756,0.00010676916501410135,0.3256874924259041,128,2,True,none,max,63,0.6086956858634949,1.092221975326538,0.5735294117647058,0.5595238095238095,0.5548387096774193,0.5895140664961637,0.6086956521739131,0.5884992987377278,0.5556907653808594,0.8252440690994263,0.6086956858634949,225,0.6521739363670349,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,72,0.5217391304347826,0.15848040580749512,0.5265151515151515,0.5277777777777778,0.5180952380952382,0.550395256916996,0.5217391304347826,0.5272049689440994,0.6956521739130435,15,144,20,8,6,sqrt
8_0,8,0,20250502_174623,10,135,32,0.09635986738492414,0.34330143540669855,0.3107616953724214,0.07990713507694809,8,0.0,2,0.585570824873032,0.41479223568171564,0.5515876608066341,135,836,0.09242675511332228,12.385185185185184,0.22448707702144613,935.0,0.0023316998965074377,1.1657238046331704,1,135,1.0,0.3221099887766554,0.0673289183222958,0.6542260308614289,0.5555555820465088,0.7623648643493652,0.15,0.22058823529411764,0.17857142857142858,0.37777777777777777,0.5555555555555556,0.4497354497354497,0.6925188302993774,0.7722896933555603,0.8148148059844971,67,0.7777777910232544,15,0.00014096175149815865,0.0009413993046829941,0.4861223846483287,64,3,True,layer,mean,52,0.6296296119689941,0.5831942558288574,0.20987654320987656,0.3333333333333333,0.25757575757575757,0.39643347050754457,0.6296296296296297,0.48653198653198654,0.05411157011985779,2.540053129196167,0.7037037014961243,124,0.7407407760620117,15,0.0021137059440645744,4.201672054372529e-05,0.3600340105889054,64,3,93,0.6296296296296297,0.1755681037902832,0.20987654320987656,0.3333333333333333,0.25757575757575757,0.39643347050754457,0.6296296296296297,0.48653198653198654,0.7037037037037037,15,144,20,8,6,sqrt
9_0,9,0,20250502_174648,5,104,32,0.14993275152310082,0.6562009419152276,0.09953566111081602,0.08794670036916617,10,0.0,1,0.7580309111804886,0.45511359964122367,0.043546577843375345,104,637,0.11893203883495146,12.25,0.3658203199589028,954.0,0.005238764661951412,0.6742165120973873,1,104,1.0,0.3917525773195876,0.051060853345768244,0.7693798344415796,0.5,1.0538558959960938,0.5,0.5,0.4727668845315904,0.5,0.5,0.4727668845315904,0.6300569176673889,0.8892220258712769,0.6000000238418579,121,0.6500000357627869,15,0.0011207606211860567,7.309539835912905e-05,0.24561457009902096,16,2,True,batch,mean,97,0.40909093618392944,0.6688051223754883,0.225,0.4090909090909091,0.2903225806451613,0.225,0.4090909090909091,0.2903225806451613,0.5106251239776611,0.9324164390563965,0.6000000238418579,136,0.699999988079071,15,0.0004066563313514797,1.5679933916722995e-05,0.4421165132560785,64,3,48,0.3181818181818182,0.16360259056091309,0.3035714285714286,0.3181818181818182,0.30526315789473685,0.3035714285714286,0.3181818181818182,0.30526315789473685,0.6,15,144,20,8,6,sqrt
10_0,10,0,20250502_174721,10,118,32,0.10019492935563133,1.0,0.5341016900858655,0.03313928537785236,10,0.0,1,0.9064524153763995,0.05919842071382703,0.7560716102217615,104,375,0.07001493651979089,7.211538461538462,0.7344876277568584,593.0,0.003256380969116549,0.7152948187660948,8,17,1.0,0.5868544600938967,0.0,1.0,0.6363636255264282,3.445336103439331,0.1590909090909091,0.25,0.19444444444444445,0.4049586776859504,0.6363636363636364,0.494949494949495,0.6816729307174683,1.1433616876602173,0.6500000357627869,300,0.6500000357627869,15,0.00014096175149815865,0.0009413993046829941,0.4861223846483287,64,3,True,layer,mean,52,0.6363636255264282,0.6582081317901611,0.1590909090909091,0.25,0.19444444444444445,0.4049586776859504,0.6363636363636364,0.494949494949495,0.8588279485702515,1.1703910827636719,0.699999988079071,133,0.75,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,72,0.6363636363636364,0.15729093551635742,0.1590909090909091,0.25,0.19444444444444445,0.4049586776859504,0.6363636363636364,0.494949494949495,0.65,15,144,20,8,6,sqrt
