,num_communities,num_communities,num_nodes,num_nodes,feature_dim,feature_dim,feature_signal,feature_signal,randomness_factor,randomness_factor,min_connection_strength,min_connection_strength,min_component_size,min_component_size,indirect_influence,indirect_influence,node_count,node_count,edge_count,edge_count,avg_degree,avg_degree,avg_communities_per_node,avg_communities_per_node,clustering_coefficient,clustering_coefficient,triangle_count,triangle_count,triangle_density,triangle_density,homophily,homophily,power_law_exponent,power_law_exponent,density,density,connected_components,connected_components,largest_component_size,largest_component_size,GCN_accuracy,GCN_accuracy,GCN_train_time,GCN_train_time,SAGE_accuracy,SAGE_accuracy,SAGE_train_time,SAGE_train_time,MLP_accuracy,MLP_accuracy,MLP_train_time,MLP_train_time,RandomForest_accuracy,RandomForest_accuracy,RandomForest_train_time,RandomForest_train_time
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
feature_signal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,9.5455,3.0508,107.0909,27.3616,32.0,0.0,0.0,0.0,0.5052,0.3114,0.0617,0.0229,6.7273,2.5295,0.0,0.0,105.3636,28.1163,449.9091,266.5419,8.1804,3.6927,1.0,0.0,0.1809,0.1698,324.4545,460.9033,0.0016,0.0019,0.3213,0.2618,0.6078,0.7134,0.0804,0.0351,2.0,3.295,96.7727,38.5214,0.3083,0.293,1.3157,0.6754,0.2233,0.1966,0.9795,0.4864,0.1223,0.0742,0.4338,0.2687,0.1133,0.0972,0.1916,0.0825
0.02,9.6818,3.9807,113.1364,31.8184,32.0,0.0,0.02,0.0,0.5464,0.3536,0.061,0.0213,5.9091,2.5054,0.0,0.0,107.0909,36.1121,507.3636,413.8434,8.6502,5.1089,1.0,0.0,0.1807,0.1586,536.0455,938.2214,0.0024,0.0034,0.328,0.2623,0.9637,0.643,0.0837,0.0408,1.4545,1.5954,102.5909,43.4168,0.3246,0.2886,1.2458,0.5412,0.2289,0.2523,0.7878,0.4228,0.136,0.1205,0.4583,0.1852,0.1495,0.1098,0.1643,0.0708
0.04,9.3182,3.3578,123.9091,24.7134,32.0,0.0,0.04,0.0,0.5735,0.2587,0.0555,0.0244,6.6818,2.4955,0.0,0.0,122.9091,24.6575,539.8182,339.5762,8.5636,4.6102,1.0,0.0,0.1388,0.1165,366.6818,585.643,0.0012,0.0016,0.3255,0.264,0.5582,0.7678,0.0711,0.0346,1.5,1.6257,115.0455,38.0019,0.3412,0.2828,1.369,0.5213,0.238,0.2472,0.7577,0.4287,0.1401,0.0815,0.4121,0.1444,0.1058,0.0998,0.222,0.0818
0.06,9.5455,3.0508,107.0909,27.3616,32.0,0.0,0.06,0.0,0.478,0.324,0.0618,0.0229,6.6818,2.4763,0.0,0.0,105.3636,28.1163,453.8636,264.8519,8.2523,3.6523,1.0,0.0,0.1817,0.1692,325.7727,460.0498,0.0016,0.0019,0.321,0.262,0.6364,0.7037,0.0811,0.0346,2.0,3.295,96.7727,38.5214,0.3141,0.2901,1.2465,0.6892,0.2157,0.202,0.9844,0.488,0.1265,0.0694,0.4571,0.2425,0.1133,0.0972,0.1892,0.078
0.08,9.6818,3.9807,113.1364,31.8184,32.0,0.0,0.08,0.0,0.5464,0.3536,0.061,0.0213,5.9091,2.5054,0.0,0.0,107.0909,36.1121,507.3636,413.8434,8.6502,5.1089,1.0,0.0,0.1807,0.1586,536.0455,938.2214,0.0024,0.0034,0.328,0.2623,0.9637,0.643,0.0837,0.0408,1.4545,1.5954,102.5909,43.4168,0.3226,0.2935,1.2555,0.557,0.2416,0.2451,0.7961,0.4221,0.1419,0.12,0.4347,0.2024,0.1495,0.1098,0.1655,0.0722
