experiment_id,combination,repeat,timestamp,num_communities,num_nodes,feature_dim,feature_signal,randomness_factor,min_connection_strength,min_component_size,indirect_influence,node_count,edge_count,avg_degree,avg_communities_per_node,clustering_coefficient,triangle_count,triangle_density,homophily,power_law_exponent,density,connected_components,largest_component_size,GCN_accuracy,GCN_train_time,GCN_metrics_macro_precision,GCN_metrics_macro_recall,GCN_metrics_macro_f1,GCN_metrics_weighted_precision,GCN_metrics_weighted_recall,GCN_metrics_weighted_f1,GCN_final_train_loss,GCN_final_val_loss,GCN_best_val_acc,GCN_epochs_trained,MLP_accuracy,MLP_train_time,MLP_metrics_macro_precision,MLP_metrics_macro_recall,MLP_metrics_macro_f1,MLP_metrics_weighted_precision,MLP_metrics_weighted_recall,MLP_metrics_weighted_f1,MLP_final_train_loss,MLP_final_val_loss,MLP_best_val_acc,MLP_epochs_trained,RandomForest_accuracy,RandomForest_train_time,RandomForest_metrics_macro_precision,RandomForest_metrics_macro_recall,RandomForest_metrics_macro_f1,RandomForest_metrics_weighted_precision,RandomForest_metrics_weighted_recall,RandomForest_metrics_weighted_f1
0_0,0,0,20250430_110826,14,168,32,0.0,0.05557327623362307,0.037468195061622994,6,0.21354955600872927,168,1650,19.642857142857142,1.0,0.23542054171630986,3126.0,0.004027229534047224,0.12424242424242424,0.9077653970515861,0.1176218990590248,1,1.0,0.08571428805589676,1.1126148700714111,0.006993006993006993,0.07692307692307693,0.012820512820512822,0.007792207792207791,0.08571428571428572,0.014285714285714285,1.9646286964416504,2.7520108222961426,0.1818181872367859,101,0.08571428805589676,0.4489262104034424,0.030612244897959183,0.0642857142857143,0.039560439560439566,0.03265306122448979,0.08571428571428572,0.044835164835164844,0.1476808339357376,4.745683193206787,0.06060606241226196,103,0.11428571428571428,0.14841079711914062,0.07142857142857142,0.12142857142857143,0.06938775510204082,0.1,0.11428571428571428,0.08
1_0,1,0,20250430_110829,14,142,32,0.0,0.47125496964710545,0.07701103611452645,6,0.4238088926144364,142,668,9.408450704225352,1.0,0.07060383347665858,146.0,0.0003125133781411876,0.12125748502994012,0.055133781673023075,0.06672660073918689,1,1.0,0.13793103396892548,1.4603571891784668,0.054029304029304025,0.14102564102564102,0.07583527583527584,0.06527093596059114,0.13793103448275862,0.08693834900731452,1.0035855770111084,3.015714645385742,0.1785714328289032,160,0.06896551698446274,0.6233246326446533,0.036630036630036625,0.044871794871794865,0.03736263736263737,0.06075533661740558,0.06896551724137931,0.06009852216748769,0.04794575273990631,4.758205413818359,0.1785714328289032,140,0.13793103448275862,0.13772988319396973,0.06972789115646258,0.07738095238095237,0.06938775510204083,0.12972085385878487,0.13793103448275862,0.1270935960591133
2_0,2,0,20250430_110832,10,97,32,0.0,0.36432460511540166,0.08087901252260873,5,0.2065283116067516,85,115,2.7058823529411766,1.0,0.02042016806722689,3.0,3.0373595221221018e-05,0.34782608695652173,1.5260741796344075,0.03221288515406162,1,1.0,0.23529411852359772,1.6077461242675781,0.1388888888888889,0.13703703703703704,0.1308641975308642,0.2647058823529412,0.23529411764705882,0.24052287581699344,0.13396106660366058,4.517203330993652,0.29411765933036804,188,0.1764705926179886,0.8121135234832764,0.175,0.09166666666666667,0.11250000000000002,0.29411764705882354,0.17647058823529413,0.2058823529411765,0.012486787512898445,4.94624662399292,0.1764705926179886,186,0.23529411764705882,0.12967395782470703,0.109375,0.11666666666666667,0.1076923076923077,0.19852941176470587,0.23529411764705882,0.20633484162895926
3_0,3,0,20250430_110834,14,99,32,0.0,0.44762387266552495,0.062141512581559366,2,0.12907908382923916,99,531,10.727272727272727,1.0,0.09235645189299371,175.0,0.0011157227652073014,0.064030131826742,-0.6915655385722943,0.10946196660482375,1,1.0,0.0,0.889655590057373,0.0,0.0,0.0,0.0,0.0,0.0,1.211358904838562,3.316497325897217,0.15789473056793213,101,0.1428571492433548,1.0222680568695068,0.12820512820512822,0.0705128205128205,0.08461538461538462,0.246031746031746,0.14285714285714285,0.16666666666666666,0.009965191595256329,4.4958367347717285,0.15789473056793213,237,0.14285714285714285,0.12890410423278809,0.08547008547008547,0.07051282051282051,0.07337278106508877,0.16402116402116404,0.14285714285714285,0.1435897435897436
4_0,4,0,20250430_110836,13,94,32,0.0,0.8405358799491938,0.032831510000491615,10,0.16761159010678583,94,533,11.340425531914894,1.0,0.11562924217969991,234.0,0.0017456954432872789,0.058161350844277676,-0.6672061299849021,0.12194005948295585,1,1.0,0.05000000074505806,0.8909144401550293,0.0101010101010101,0.09090909090909091,0.01818181818181818,0.005555555555555555,0.05,0.009999999999999998,1.3976277112960815,2.927105665206909,0.1111111119389534,101,0.15000000596046448,0.4316251277923584,0.08585858585858586,0.16666666666666666,0.09090909090909091,0.11388888888888889,0.15,0.11000000000000001,0.04274853691458702,5.348296642303467,0.0555555559694767,101,0.1,0.12196540832519531,0.02857142857142857,0.08333333333333333,0.04232804232804233,0.03428571428571429,0.1,0.0507936507936508
5_0,5,0,20250430_110839,14,139,32,0.0,0.7379531202529385,0.0924298550609942,4,0.4765363843110685,139,1250,17.985611510791365,1.0,0.1313034151871262,978.0,0.0022329327905495342,0.0208,1.1091245208275458,0.13033051819414035,1,1.0,0.03448275849223137,0.8793084621429443,0.003246753246753247,0.07142857142857142,0.006211180124223603,0.001567398119122257,0.034482758620689655,0.0029985007496251877,2.0554609298706055,2.8859927654266357,0.14814814925193787,101,0.03448275849223137,0.7030844688415527,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.03837175667285919,4.824630260467529,0.14814814925193787,164,0.034482758620689655,0.14478111267089844,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.034482758620689655,0.034482758620689655,0.034482758620689655
6_0,6,0,20250430_110842,14,174,32,0.02,0.8485767073958004,0.07132559885327139,5,0.24009503866101395,174,1996,22.942528735632184,1.0,0.346703974165132,6121.0,0.007093324556971413,0.08016032064128256,0.6795072470493269,0.13261577303833633,1,1.0,0.0555555559694767,1.7068278789520264,0.03968253968253969,0.08928571428571429,0.05411255411255411,0.020061728395061727,0.05555555555555555,0.028619528619528618,1.7963815927505493,2.8629519939422607,0.14705882966518402,192,0.1111111119389534,0.5483505725860596,0.0642857142857143,0.07142857142857142,0.06746031746031746,0.1,0.1111111111111111,0.10493827160493827,0.10338708758354187,3.6978225708007812,0.23529411852359772,127,0.1388888888888889,0.14561867713928223,0.11944444444444445,0.14523809523809522,0.09000523286237572,0.18996913580246913,0.1388888888888889,0.11355311355311354
7_0,7,0,20250430_110844,12,92,32,0.02,0.5865675050750127,0.09065463978926648,8,0.16292339019536894,92,370,8.043478260869565,1.0,0.19523489258323853,280.0,0.002229654403567447,0.12972972972972974,0.38172783405924726,0.08838987099856666,1,1.0,0.10526315867900848,0.8830161094665527,0.10555555555555556,0.2,0.11052631578947367,0.05555555555555556,0.10526315789473684,0.05817174515235456,1.0296130180358887,2.5813369750976562,0.2222222238779068,102,0.05263157933950424,0.4549252986907959,0.016666666666666666,0.1,0.02857142857142857,0.008771929824561403,0.05263157894736842,0.015037593984962405,0.03229978680610657,4.9237542152404785,0.1666666716337204,106,0.15789473684210525,0.1207590103149414,0.14102564102564102,0.225,0.10428571428571429,0.23211875843454793,0.15789473684210525,0.11804511278195488
8_0,8,0,20250430_110848,14,123,32,0.02,0.8941073178047334,0.08837969056245801,5,0.24012700054307734,117,229,3.9145299145299144,1.0,0.07846987797968184,31.0,0.00011917118363894975,0.23580786026200873,1.2134055395685126,0.03374594753905099,1,1.0,0.25,2.047889232635498,0.2564102564102564,0.23076923076923078,0.21575091575091573,0.3194444444444444,0.25,0.25059523809523815,0.1976228654384613,4.357185363769531,0.21739131212234497,236,0.1666666716337204,0.6818244457244873,0.0923076923076923,0.15384615384615385,0.11446886446886448,0.10833333333333334,0.16666666666666666,0.13045634920634921,0.02296469360589981,4.658993244171143,0.30434784293174744,157,0.16666666666666666,0.13953828811645508,0.1,0.15384615384615385,0.11242603550295857,0.07916666666666666,0.16666666666666666,0.09935897435897435
9_0,9,0,20250430_110850,15,89,32,0.02,0.23141262217714864,0.08294336806901226,7,0.05255956492619834,89,529,11.887640449438202,1.0,0.21897847228184628,488.0,0.004297136416470008,0.03969754253308128,0.351884673906679,0.13508682328907048,1,1.0,0.0,0.9458918571472168,0.0,0.0,0.0,0.0,0.0,0.0,1.3945456743240356,3.1659114360809326,0.23529411852359772,107,0.15789473056793213,0.5349509716033936,0.13541666666666666,0.1875,0.1074074074074074,0.24342105263157895,0.15789473684210525,0.13099415204678364,0.017731109634041786,4.31254768371582,0.23529411852359772,117,0.05263157894736842,0.15613317489624023,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.05263157894736842,0.05263157894736842,0.05263157894736842
