run_id,timestamp,total_time,method,degree_distribution,n_graphs,universe_homophily,universe_edge_density,homophily_range_width,density_range_width,degree_heterogeneity,edge_noise,cluster_count_factor,cluster_variance,center_variance,assignment_skewness,community_exclusivity,universe_randomness_factor,community_imbalance_range_width,degree_separation_range_width,family_n_graphs,family_node_counts_mean,family_node_counts_std,family_node_counts_min,family_node_counts_max,family_edge_counts_mean,family_edge_counts_std,family_edge_counts_min,family_edge_counts_max,family_community_counts_mean,family_community_counts_std,family_community_counts_min,family_community_counts_max,consistency_overall,consistency_pattern,consistency_fidelity,consistency_degree,signal_degree_signals_mean,signal_degree_signals_std,signal_structure_signals_mean,signal_structure_signals_std,signal_feature_signals_mean,signal_feature_signals_std,community_gcn_accuracy,community_gcn_f1_macro,community_gcn_train_time,community_gcn_success,community_sage_accuracy,community_sage_f1_macro,community_sage_train_time,community_sage_success,community_mlp_accuracy,community_mlp_f1_macro,community_mlp_train_time,community_mlp_success,community_rf_accuracy,community_rf_f1_macro,community_rf_train_time,community_rf_success
13,20250527_131523,9.417535305023193,dccc_sbm,power_law,12,0.2,0.12000000000000001,0.0186216573343716,0.04858279599948938,0.4838599804636461,0.02425227014980641,1.0311238298072531,0.1499166753777514,1.295319261806943,0.02055007673043685,0.6433390935802882,0.767160045428697,0.025714354441942144,0.8430015770507537,4,84.0,2.7386127875258306,81.0,88.0,451.25,18.498310733685926,425.0,475.0,4.0,0.0,4.0,4.0,0.548053189542902,0.5659679000481255,0.6481030705697226,0.3121240064788143,0.41162173202614377,0.10022892291039114,0.09652699205544818,0.04763012921501927,0.4604243571008544,0.027990152863527146,,,0.0,False,,,0.0,False,,,0.0,False,0.5352941176470588,0.4235877684407096,0.42085957527160645,True
14,20250527_131728,125.71970176696777,dccc_sbm,power_law,12,0.2,0.17,0.19683837010851535,0.01667061330073267,0.6737016246691375,0.019639041721452456,0.8544464646410236,0.40854931705920966,0.37929583473177897,0.22930566257310692,0.9509205685988351,0.3916584611674081,0.163066710175155,0.36306657717063984,11,87.54545454545455,5.883159886313977,80.0,100.0,762.7272727272727,143.45673463014484,542.0,994.0,4.2727272727272725,0.44536177141512334,4.0,5.0,0.4850731395975412,0.41694214876033053,0.7284510344434231,0.13457933158019875,0.44703396191012296,0.07845386096154425,0.082988980389034,0.030549546818454384,0.36545834549230327,0.09854416781600525,0.4474708171206226,0.3445200501339953,8.958171606063843,True,0.6653696498054474,0.5349506169605197,7.495254993438721,True,0.6536964980544747,0.5236568506723459,1.9657344818115234,True,0.6459143968871596,0.6452970729464856,0.8060009479522705,True
15,20250527_131741,12.18915057182312,dccc_sbm,power_law,12,0.2,0.17,0.01746992858043501,0.0115238549775864,0.41106107063891273,0.0310782698560087,1.0659558907615057,0.27708121485408677,1.2125781698172613,0.45907755364179875,0.8088363011374708,0.42468726138828505,0.03590197727481892,0.9289701951254523,3,91.33333333333333,5.557777333511022,86.0,99.0,756.3333333333334,180.5737768583492,604.0,1010.0,4.333333333333333,0.4714045207910317,4.0,5.0,0.6814514479896933,0.695959595959596,0.8245409522016706,0.36625614362593323,0.49841875931659213,0.10851712273856073,0.1511198349741617,0.04996170042976918,0.4044559791588654,0.1690130301110593,,,0.0,False,,,0.0,False,,,0.0,False,0.35135135135135137,0.2742275698158051,0.31400418281555176,True
16,20250527_131929,108.00848960876465,dccc_sbm,power_law,12,0.4,0.02,0.07302111660453879,0.022560295794666896,0.4960603487677895,0.007562206659513693,1.071761582327721,0.15192066282923972,0.4701186435947529,0.1874380832526103,0.9263426697724058,0.968834693707313,0.39444060958223504,0.566477279007222,12,82.41666666666667,10.594482316543624,61.0,98.0,307.5833333333333,175.8045592570214,73.0,691.0,4.166666666666667,0.37267799624996495,4.0,5.0,0.7537015001722307,0.847220735312377,0.8597281653235491,0.35460969958930116,0.492002747567763,0.10436244153244298,0.5056008179344057,0.25259291511845017,0.5697970748435145,0.10909105774381267,0.7489878542510121,0.7295359163685264,4.947199821472168,True,0.8421052631578947,0.8351254713751188,2.895108461380005,True,0.8340080971659919,0.832893192488263,3.62473464012146,True,0.7975708502024291,0.7883917008061319,0.7587950229644775,True
17,20250527_132128,119.37526226043701,dccc_sbm,power_law,12,0.4,0.02,0.18480702311488506,0.007893529026739598,0.8669150768157973,0.00841569408614582,1.0735736839376275,0.14815048576282727,0.39185803113690815,0.28199020597915675,0.6879293407274705,0.6486207995826014,0.3138761212048414,0.5876820872529116,12,89.0,4.415880433163924,82.0,95.0,374.75,164.15649291656626,157.0,670.0,4.25,0.4330127018922193,4.0,5.0,0.7343687527028204,0.763047431042422,0.8352450541317876,0.47525879316568287,0.46665770840499937,0.10034853484827848,0.30700161067351045,0.09767966250217375,0.4782671508260838,0.0797929853376512,0.6791044776119403,0.6829047319823358,7.114067077636719,True,0.7388059701492538,0.5832647076521914,4.508850336074829,True,0.7052238805970149,0.6963927429041618,2.127980947494507,True,0.6417910447761194,0.6310173082008603,0.8664908409118652,True
18,20250527_132325,117.2196671962738,dccc_sbm,power_law,12,0.4,0.07,0.06017466600932375,0.0093472908170939,0.32318267696821945,0.06657495702883091,1.0669708009692134,0.2051444398603947,0.575328224131649,0.0052907679393214835,0.6681462403974848,0.12339337068010403,0.346200638202043,0.9121090924008839,11,91.9090909090909,4.316028171079716,82.0,99.0,630.6363636363636,222.67312885494195,271.0,958.0,4.454545454545454,0.49792959773196915,4.0,5.0,0.6985843949298874,0.7150531286894922,0.8511827723584046,0.3604501725536435,0.39507091034180825,0.11090065273389328,0.3069677645085911,0.14031484382605752,0.33084400356463767,0.08651302013429518,0.4944649446494465,0.40597210412092444,9.889442920684814,True,0.5719557195571956,0.5647510745611888,3.3610002994537354,True,0.5571955719557196,0.5300187159392752,3.107858896255493,True,0.47601476014760147,0.42207051527937595,0.8049354553222656,True
19,20250527_132517,110.96625709533691,dccc_sbm,power_law,12,0.4,0.07,0.16489389518265637,0.009067486624859988,0.8773267682070526,0.04995513073466393,1.4649264332226783,0.011737317936768115,1.386230076491194,0.3147219566172721,0.7217190219997407,0.3409250820666343,0.07036759035700829,0.6409012430995935,11,91.36363636363636,4.995866059648758,81.0,97.0,473.6363636363636,93.87154930326356,292.0,648.0,4.818181818181818,0.385694607919935,4.0,5.0,0.7274078678546843,0.7807353019788837,0.8522908937671496,0.3709869477813543,0.40957234887575444,0.06365486687108883,0.3457599005820575,0.18189133883791214,0.7122881352159428,0.08633534942152389,0.7034220532319392,0.6726662935448295,2.010300397872925,True,0.779467680608365,0.7745280675608545,2.21138858795166,True,0.779467680608365,0.77501954366777,2.296785354614258,True,0.779467680608365,0.77501954366777,0.7650551795959473,True
20,20250527_132646,89.41665148735046,dccc_sbm,power_law,12,0.4,0.12000000000000001,0.0067509420846416646,0.024455375398279234,0.8460850972808829,0.04114019998097745,1.1314153737307646,0.15256218626040569,0.818772430506012,0.11409068995165189,0.6961105317681607,0.9534575270642959,0.3229052160825424,0.3125000074439904,6,91.0,4.163331998932265,83.0,96.0,583.0,58.349521563305615,478.0,661.0,4.333333333333333,0.4714045207910317,4.0,5.0,0.7093304172510179,0.8015953850329126,0.7952727258849802,0.35291586441930384,0.3761551140924206,0.13779538813885722,0.48176196109481645,0.19528001778771673,0.5021316962272723,0.06026323703478285,0.6470588235294118,0.5382449020010583,2.223076343536377,True,0.6149732620320856,0.5079116465863454,2.6649270057678223,True,0.5775401069518716,0.4796457014498673,1.525620937347412,True,0.5561497326203209,0.4509555931719145,0.49840545654296875,True
21,20250527_132842,115.96332120895386,dccc_sbm,power_law,12,0.4,0.12000000000000001,0.11078820450011728,0.01981239468526834,0.04812677258007669,0.05256725610928528,0.6530385818118903,0.2550049788871354,0.3915693017770599,0.2715465789347553,0.8193064478073887,0.22578871385664923,0.04462315547634754,0.6163087376660196,9,90.33333333333333,3.5901098714230026,85.0,96.0,739.4444444444445,244.50590136532315,489.0,1215.0,4.222222222222222,0.41573970964154905,4.0,5.0,0.755106697638656,0.800108225108225,0.8933894074968676,0.3885382229830945,0.395974085540649,0.06444032449042413,0.2839612758458311,0.1035100265075407,0.38043427089389464,0.12192870340563301,0.449438202247191,0.36478820375513055,3.6657681465148926,True,0.5692883895131086,0.46781257411555216,4.525347709655762,True,0.5468164794007491,0.4122973492863463,3.4802298545837402,True,0.5168539325842697,0.40364251974746823,0.6521706581115723,True
23,20250527_132853,8.62826657295227,dccc_sbm,power_law,12,0.4,0.17,0.04372901002944121,0.001570135975129028,0.2871252773397034,0.017264465555520647,0.8033763808784103,0.08984560902847329,1.051977492309372,0.3857554158340966,0.8058209790513068,0.23580688811756312,0.1150198132993871,0.6540006164534409,4,89.5,6.800735254367722,80.0,99.0,886.25,144.32493720767732,664.0,1067.0,4.5,0.5,4.0,5.0,0.768921681275758,0.8314243781610777,0.9153226928886911,0.35111426427925224,0.3911420708634331,0.07981780124890639,0.2763987902960486,0.1383691397235148,0.6419191738773782,0.20768818031294495,,,0.0,False,,,0.0,False,,,0.0,False,0.6149732620320856,0.5261989133002599,0.3939812183380127,True
