run_id,timestamp,total_time,method,degree_distribution,n_graphs,universe_homophily,universe_edge_density,homophily_range_width,density_range_width,degree_heterogeneity,edge_noise,family_n_graphs,family_node_counts_mean,family_node_counts_std,family_node_counts_min,family_node_counts_max,family_edge_counts_mean,family_edge_counts_std,family_edge_counts_min,family_edge_counts_max,family_community_counts_mean,family_community_counts_std,family_community_counts_min,family_community_counts_max,consistency_overall,consistency_pattern,consistency_fidelity,consistency_degree,signal_degree_signals_mean,signal_degree_signals_std,signal_structure_signals_mean,signal_structure_signals_std,signal_feature_signals_mean,signal_feature_signals_std,community_gcn_accuracy,community_gcn_f1_macro,community_gcn_train_time,community_gcn_success,community_sage_accuracy,community_sage_f1_macro,community_sage_train_time,community_sage_success,community_mlp_accuracy,community_mlp_f1_macro,community_mlp_train_time,community_mlp_success,community_rf_accuracy,community_rf_f1_macro,community_rf_train_time,community_rf_success
0,20250527_100319,16.46544599533081,dc_sbm,standard,12,0.1,0.05,0.11236203565420874,0.04753571532049581,0.6123957592679836,0.11973169683940732,12,90.16666666666667,6.730940168769558,80.0,99.0,730.25,262.25405144630275,252.0,1187.0,4.333333333333333,0.8498365855987975,3.0,5.0,0.3386516215530956,0.2587929535066506,0.60353724820494,-0.031402295657703506,0.29433379199633075,0.0801974560277545,0.0784510649057679,0.10714085474635629,0.8339139003850354,0.11462324499369107,0.4053030303030303,0.3833998605286162,2.9194910526275635,True,0.9204545454545454,0.9198329917699907,1.334083080291748,True,0.9431818181818182,0.9429453256142025,1.1349990367889404,True,0.8522727272727273,0.8410857311081502,0.32399702072143555,True
1,20250527_100330,11.515907526016235,dc_sbm,standard,12,0.1,0.05,0.03451636991693369,0.03045332696397407,0.1933736749301918,0.04811792399306976,12,89.58333333333333,4.310033513661917,84.0,98.0,597.0833333333334,197.39151380498154,292.0,944.0,3.75,0.7216878364870323,3.0,5.0,0.6021755289337609,0.6678462658016544,0.8381410258374368,-0.0010969386093777841,0.31619187879830296,0.0411834729143891,0.08870082597472317,0.0861242901463474,0.8290301695818926,0.12145818342401005,0.5485074626865671,0.3966391759092488,1.5946614742279053,True,0.8619402985074627,0.6803936601045006,0.8513827323913574,True,0.8694029850746269,0.6794335463868807,0.7519347667694092,True,0.8544776119402985,0.68774297597827,0.3014686107635498,True
2,20250527_100342,11.656381130218506,dc_sbm,standard,12,0.1,0.1,0.2504526445996948,0.005239805218493487,0.6212483371756625,0.07210016725125715,12,91.83333333333333,7.819136070493267,80.0,100.0,918.25,347.7041666417013,441.0,1408.0,4.25,0.7216878364870323,3.0,5.0,0.46259534273362185,0.3750801114515156,0.7697110898619117,0.023394311041254404,0.2804934210526316,0.04447713157732188,0.08432201473291129,0.11694483431607892,0.837821514845186,0.09521310509354933,0.4645390070921986,0.3283623885990104,1.1795871257781982,True,0.8829787234042553,0.8351690060600554,1.1685502529144287,True,0.8191489361702128,0.6974706527898017,0.7700674533843994,True,0.8404255319148937,0.7683376715190076,0.3123650550842285,True
3,20250527_100357,15.327656507492065,dc_sbm,standard,12,0.1,0.1,0.29670345404268,0.027477236342236273,0.297013111368544,0.015457913215834541,12,87.33333333333333,4.4969125210773475,82.0,97.0,685.5833333333334,173.640173123106,349.0,959.0,4.0,0.7071067811865476,3.0,5.0,0.28763046491923117,0.19158317995215757,0.5420652098555867,-0.029144455019332657,0.2650899409471391,0.046737351169831194,0.034961207271286134,0.05242870054748651,0.8281435822805792,0.07110303265827259,0.4671814671814672,0.37906157902018645,3.580277442932129,True,0.8725868725868726,0.7231319139325814,0.992847204208374,True,0.9459459459459459,0.923921458921163,2.176476240158081,True,0.8764478764478765,0.7614273643473812,0.29337573051452637,True
4,20250527_100411,13.481600046157837,dc_sbm,standard,12,0.1,0.15000000000000002,0.23514970524172518,0.03174168530263651,0.27433016406102423,0.15161517292996354,12,88.33333333333333,5.233439489369194,80.0,98.0,1025.75,313.37467590729153,538.0,1542.0,3.9166666666666665,0.8620067027323833,3.0,5.0,0.5228491791701609,0.474308628226888,0.8392326312045496,-0.012836623012070733,0.3052560629514964,0.05301686318675286,0.11028192694179555,0.12181453279610367,0.8887348635387852,0.08470846888982723,0.3977272727272727,0.3066708807416772,3.1817238330841064,True,0.6856060606060606,0.5674659712476159,0.8800215721130371,True,0.6174242424242424,0.4654805160066385,0.6672985553741455,True,0.8522727272727273,0.8227856800577025,0.2846078872680664,True
5,20250527_100427,16.232473373413086,dc_sbm,standard,12,0.1,0.15000000000000002,0.034046541568094855,0.048724154721822836,0.6101142434507744,0.07029356117854028,12,92.58333333333333,6.473771869800651,80.0,100.0,977.0,198.57869976409856,677.0,1267.0,4.083333333333333,0.759202798262025,3.0,5.0,0.3691535214984408,0.17725364744704156,0.720413714274625,0.05043288404887078,0.3047943899782135,0.08077579420702942,0.08207512191842786,0.10449943544338539,0.8128058656361029,0.09912103968487042,0.4782608695652174,0.3728496324569256,2.6562302112579346,True,0.9094202898550725,0.8734248737064304,2.018101692199707,True,0.9021739130434783,0.8848456477732795,1.764432668685913,True,0.8405797101449275,0.7339473870617297,0.3353543281555176,True
6,20250527_100444,17.445749759674072,dc_sbm,standard,12,0.30000000000000004,0.05,0.0052470812793457885,0.04457866335901292,0.29940281723174283,0.05979527549179158,12,91.75,7.3043936549632,80.0,100.0,664.25,222.94473343559085,309.0,969.0,3.8333333333333335,0.7993052538854533,3.0,5.0,0.4458517732176124,0.5492958071154086,0.5518876108479841,0.026892030161276167,0.3198191147804151,0.09406298154076638,0.06814610003047489,0.10543907386109373,0.82816277825727,0.07052167891783408,0.49640287769784175,0.3740136966620372,3.6529839038848877,True,0.9136690647482014,0.8609376126276075,2.3487234115600586,True,0.9028776978417267,0.7351013232775503,1.0326058864593506,True,0.8741007194244604,0.7111563135659522,0.3514831066131592,True
7,20250527_100456,11.831355094909668,dc_sbm,standard,12,0.30000000000000004,0.05,0.09028933675677438,0.012353091598090721,0.748434594541423,0.1783206876555528,12,90.0,4.4907311951024935,80.0,96.0,656.1666666666666,207.02086582972473,393.0,965.0,3.8333333333333335,0.7993052538854533,3.0,5.0,0.6834563191908761,0.8381112551485663,0.8716351262180796,-0.002211166778911519,0.2939430684554523,0.07006800559332815,0.08061940112230517,0.05904141822843226,0.8655748664056198,0.07687104669399987,0.46153846153846156,0.37649032460003545,1.5297324657440186,True,0.8315018315018315,0.7117756077403067,1.025320291519165,True,0.6776556776556777,0.5340231097509591,0.6301925182342529,True,0.7619047619047619,0.65850695113853,0.32056188583374023,True
8,20250527_100514,18.239887952804565,dc_sbm,standard,12,0.30000000000000004,0.1,0.14838049366140643,0.011404155222466811,0.27883174663004795,0.07926598194455539,12,91.16666666666667,7.3805299418281765,80.0,100.0,760.5833333333334,221.4732708979172,457.0,1188.0,4.083333333333333,0.8620067027323834,3.0,5.0,0.6854280296613783,0.814528289831038,0.9149465835466555,-0.031809598448495686,0.27951632553606237,0.05031088916173923,0.11307193556562782,0.09822539582985859,0.8733217235813341,0.09464095040050909,0.5576208178438662,0.5125775141596847,3.6880083084106445,True,0.9442379182156134,0.9333138867768023,2.2160425186157227,True,0.9479553903345725,0.9414845563249379,1.3802165985107422,True,0.8847583643122676,0.7960049294180258,0.30861759185791016,True
9,20250527_100528,13.309863328933716,dc_sbm,standard,12,0.30000000000000004,0.1,0.20271942465106568,0.002235609110147302,0.34031257077981464,0.1288039454039662,12,89.41666666666667,3.6846151615723572,85.0,95.0,826.0,249.29935151673914,464.0,1292.0,3.4166666666666665,0.49300664859163473,3.0,4.0,0.5401432638156204,0.6371849363538439,0.7226701826927268,-0.01899391901503959,0.36665520009173264,0.06911673959741885,0.039030893355181305,0.03170018925164747,0.8659944841840398,0.08081674473402131,0.5622641509433962,0.5268168482596824,2.2295916080474854,True,0.9660377358490566,0.9584130537958359,1.2237160205841064,True,0.9471698113207547,0.938617216117216,1.3036680221557617,True,0.9056603773584906,0.886682019951315,0.2952101230621338,True
